Application,Creator,Software license
Ashampoo Burning Studio,Ashampoo Software,Freemium
Alcohol 120%,Alcohol Soft,Shareware
CDBurnerXP," Stefan Haglund, Fredrik Haglund",Freeware [http://www.cdburnerxp.se/help/Intro/license]
cdrtools,Jörg Schilling,Open-source (CDDL parts are GPL)
DeepBurner,Astonsoft,Freemium
ExpressBurn,NCH Software,Freemium
ImgBurn,LIGHTNING UK!,Freeware [http://www.imgburn.com/#license]
InfraRecorder,Christian Kindahl,Open-source (GPL)
K3b," Sebastian Trüg, Christian Kvasny",Open-source (GPL)
Libburnia,Libburnia team,Open-source (GPL)
Nero Burning ROM,Ahead Software,Shareware
UltraISO,EZB Systems,Shareware
X-CD-Roast,T. Niederreiter,Open-source (GPL)
Application,Creator,Software license
