Adminer,yes,yes,yes," SQL script, CSV, TSV or the above in zip (as a plugin); imports of server-site file in SQL or SQL in zip, gzip or bzip2"," SQL script, CSV, TSV or the above in zip, gzip, bzip2; XML (as a plugin)",no,Git
,Altova DatabaseSpy,no,no,yes," CSV, XML"," XML, XML Structure, CSV, HTML, MS Excel",no,dunno
DaDaBIK,some,no,no,no,CSV,yes,no
,Database Workbench,yes,no,yes,yes,yes,yes,dunno
,DataGrip,no,yes,yes,yes," TXT, CSV, DBF, SQL script, RTF, MS Windows Clipboard, Paradox file, WK1, WQ1, SLK, DIF, LDIF",no,yes
DBeaver,yes,yes,yes,yes,yes,no,With Eclipse plugins
DBEdit,no,no,no,no," MS Excel, PDF, Text, SQL script",no,dunno
Epictetus,no,yes,no,no,Excel,no,dunno
,ModelRight,some,yes,yes," yes - from supported databases using native interfaces, or from any ODBC source"," DTD; Diagram as BMP, JPEG",no,dunno
,Navicat,yes,no,yes," yes - TXT, CSV, DBF, Paradox file, WK1, WQ1, XML, or from any ODBC source (See link for limitations)"," yes - TXT, CSV, DBF, SQL script, RTF, MS Windows Clipboard, Paradox file, WK1, WQ1, SLK, DIF, LDIF (See link for limitations)",yes,no
,Navicat Data Modeler,no,no,yes,yes - Import Database from server/ODBC,yes - Export SQL,no,no
,MySQL Workbench,yes,yes,yes," yes - CSV, HTML, JSON, MS Excel, SQL INSERTS, Tab-separated, XML"," yes - CSV, HTML, JSON, MS Excel, SQL INSERTS, Tab-separated, XML",yes,no
Oracle SQL Developer,yes,yes,yes,yes,yes,yes,yes,yes
,Orbada,no,yes,yes,SQL script," SQL script, CSV, XML, HTML, PDF, Excel, DBF, DataText",no,no,
pgAdmin,yes,yes,no," CSV, Text, or binary"," CSV, text, HTML, XML",yes,no
,phpMyAdmin,yes,some,yes," yes - CSV, Excel, ODS"," yes - CSV, Excel, Word, ODS, ODT, XML, SQL, YAML, Texy!, JSON, NHibernate, PHP, PDF, MediaWiki",yes,Git
,SQL Database Studio,yes,yes,no," CSV, XML, MS Excel"," CSV, HTML, MS Excel, SQL INSERTS, Tab-separated, XML",no,no
,SQLyog,yes,dunno,yes,yes,yes,dunno,dunno
,SQL Server Management Studio,yes,yes,dunno,yes,yes,yes,yes,yes
,SQuirreL SQL,dunno,yes,yes,yes,dunno,no,dunno
Toad,some,No,Yes,Yes,Yes,Yes," SVN, CVS, TFS, VSS"
,Toad Data Modeler,no,dunno,yes," Toad for Oracle ERD, ERWin 7.1(XML) via plugin"," SQL; meta data in XML; report in HTML/RTF/CSV; diagram as BMP, JPEG, PNG",no,dunno
,TOra,some,No,Yes,Yes,Yes,Yes,No
