Implementation,RSA,RSA-EXPORT (insecure),ECDHE-ECDSA (forward secrecy)
Botan,Disabled by default,No,yes,Disabled by default,no,yes,no,yes,no
cryptlib,yes,No,yes,Yes,no,yes,no,no,no
GnuTLS,yes,No,yes,Disabled by default,no,yes,no,yes,no
JSSE,yes,Disabled by default,yes,yes,yes,yes,yes,yes,no
LibreSSL,yes,No
MatrixSSL,yes,No,yes,No,yes,yes,yes,yes,no
mbed TLS,yes,No,yes,No,yes,yes,yes,yes,no
NSS,yes,Disabled by default,Yes,Yes,yes,yes,yes,yes,no
OpenSSL,yes,No
RSA BSAFE,yes,No,yes,Yes,yes,yes,yes,yes,no
SChannel XP/2003,yes,Yes,no,XP: Max 1024 bits2003: 1024 bits only,no,no,no,no,no
SChannel Vista/2008,yes,Disabled by default,no,1024 bits by default,no,yes,no,except AES_GCM,no
SChannel 8/2012,yes,Disabled by default,AES_GCM only,1024 bits by default,no,yes,no,except AES_GCM,no
" SChannel 7/2008R2, 8.1/2012R2",yes,Disabled by default,yes,2048 bits by default,no,yes,no,except AES_GCM,no
SChannel 10,yes,Disabled by default,yes,2048 bits by default,no,yes,no,yes,no
[https://developer.apple.com/library/mac/documentation/Security/Reference/secureTransportRef/index.html Secure Transport] OS X 10.6,yes,Yes,except AES_GCM,Yes,yes,except AES_GCM,yes,except AES_GCM,no
[https://developer.apple.com/library/mac/documentation/Security/Reference/secureTransportRef/index.html Secure Transport] OS X 10.8-10.10,yes,No,except AES_GCM,No,yes,except AES_GCM,yes,except AES_GCM,no
Secure Transport OS X 10.11,yes,No,yes,No,no,yes,no,yes,no
wolfSSL,yes,No,yes,No,yes,yes,yes,yes,no
Erlang/OTP SSL application,yes,No,yes,yes,yes,yes,yes,yes,no
Implementation,RSA,RSA-EXPORT (insecure),DHE-RSA (forward secrecy),DHE-DSS (forward secrecy),ECDH-ECDSA,ECDHE-ECDSA (forward secrecy),ECDH-RSA,ECDHE-RSA (forward secrecy)," GOST R 34.10-94, 34.10-2001 "
