Distribution," abbr=""Kernel""  Default Linux kernel"," abbr=""File system""  Default file system"," abbr=""Init system""  Default init system"," abbr=""Environment""  Install-time desktop environment or window manager selection"," abbr=""Reproducible builds""  Reproducible builds"
Alpine Linux,Binary blobs,ext4,openrc,no2 none,In progress
ALT Linux,Binary blobs,ext3,systemd," KDE Plasma Workspaces, Xfce",no
Arch Linux,Binary blobs,none,systemd,no2 none,In progress
BLAG,Linux-libre,ext3,sysvinit,GNOME,no
Bodhi Linux,Binary blobs,ext4,systemd,Moksha (Enlightenment fork),no
Canaima,Binary blobs,dunno,systemd,Cinnamon and MATE,no
CentOS,Binary blobs,xfs,systemd,GNOME,no
Chakra,Binary blobs,ext4,systemd,KDE Plasma Workspaces,no
ClearOS,Binary blobs,ext3,systemd,No2 none (Web based),no
CoreOS,Binary blobs,ext4,systemd,None,no
CrunchBang Linux,Binary blobs,ext4,sysvinit,Openbox,no
Damn Small Linux,Binary blobs,ext3,sysvinit,JWM,no
Debian," By default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally.",In progress
Devuan,Binary blobs,ext4,sysvinit,Xfce,no
Dragora GNU/Linux-Libre,Linux-libre,ext4,runit,Xfce,no
dyne:bolic,Linux-libre,dunno,systemd,GNOME,no
Fedora,Binary blobs,ext4,systemd," GNOME (default Workstation Edition), Spins for: KDE Plasma Workspaces, Xfce, LXDE, MATE (with Compiz), Cinnamon, Sugar on a Stick",In progress
Funtoo,Binary blobs,none,openrc,None,no
Gentoo,Binary blobs,none,openrc," Awesome, Enlightenment, Fluxbox, GNOME, KDE, LXDE-Meta, Openbox, XBMC and Xfce (live DVD)",no
gNewSense," Debian Linux kernel, and (unlike Debian) blobs cannot be installed",ext3,sysvinit,GNOME,no
Guix System,Hurd (in progress)," btrfs, ext4",GNU Shepherd," GNOME, Xfce, Mate, Enlightenment, i3, ratpoison, xmonad",In progress
Hyperbola GNU/Linux-libre,Linux-libre,none,openrc,none,no
Kali Linux,Binary blobs,ext3,systemd,GNOME,no
Knoppix,Binary blobs,xfs,microknoppix,LXDE,no
LibreCMC,Binary blobs,ext4,busybox-init,No2 none,no
Linux Mint,Binary blobs,ext4,systemd," MATE, Cinnamon, KDE 4, XFCE",no
Mageia,Binary blobs,ext4,systemd," KDE Plasma Workspaces, GNOME",no
Mandriva Linux,Binary blobs,ext4,systemd,KDE Plasma Workspaces,no
Manjaro Linux,Binary blobs,none,systemd," Xfce, KDE, GNOME ",no
MEPIS,Binary blobs," ext3, ext4",sysvinit,KDE Plasma Workspaces,no
Musix GNU+Linux,Linux-libre,ext4,initscripts,LXDE,no
OpenELEC,Binary blobs,SquashFS,shell script,XBMC Media Center,no
openSUSE,Binary blobs,btrfs,systemd," KDE Plasma Workspaces, GNOME, Xfce",In progress
OpenWrt,Binary blobs,overlayfs+SquashFS/JFFS2,procd,no2 none,In progress
Parabola GNU/Linux-libre,Linux-libre,none,openrc or systemd,no2 none,no
Pardus,Binary blobs,ext4,systemd,KDE Plasma Workspaces,no
Parsix,Binary blobs,ext4,systemd,GNOME,no
PCLinuxOS,Binary blobs,none,sysvinit," KDE Plasma Workspaces, GNOME, LXDE, Xfce, Enlightenment, Openbox",no
Pentoo,Binary blobs,SquashFS,openrc,Enlightenment,no
Porteus,Binary blobs," Squashfs, ext2, ext3, ext4, FAT32, reiser, xfs",sysvinit," KDE, LXDE, Xfce, Openbox, Razor-qt",no
Puppy Linux,Binary blobs,SquashFS containing ext2,busybox-init,JWM,no
Red Hat Enterprise Linux,Binary blobs,xfs,systemd,GNOME,no
Rxart Desktop,Binary blobs,ext3,dunno,KDE Plasma Workspaces,no
Sabayon Linux,Binary blobs,ext4,systemd," KDE Plasma Workspaces, GNOME",no
Scientific Linux,Binary blobs,ext4,"sysvinit, systemd",GNOME,no
