Distribution," abbr=""Kernel""  Default Linux kernel"," abbr=""File system""  Default file system"," abbr=""Init system""  Default init system"," abbr=""Environment""  Install-time desktop environment or window manager selection"," abbr=""Reproducible builds""  Reproducible builds"
Slackware,Binary blobs," ext4, ext3, ext2, reiserfs, brtfs, xfs",RC.d and sysvinit compatibile," KDE, XFCE Fluxbox, Blackbox, fvwm2 twm",no
Slax,Binary blobs,SquashFS,sysvinit,KDE Plasma Workspaces,no
SliTaz GNU/Linux,Binary blobs,ext3,busybox-init,Openbox,no
Solus,Binary blobs,ext4,systemd," Budgie, Gnome, MATE",no
Source Mage GNU/Linux,Binary blobs,ext2,simpleinit-msb,no2 none,no
SteamOS,Binary blobs,dunno,systemd,Steam,no
SUSE Linux Enterprise Desktop,Binary blobs,systemd,GNOME,no
Tails,Vanilla Linux
Trisquel,Linux-libre," ext4, xfs",systemd," GNOME, LXDE",no
TurnKey GNU/Linux,Binary blobs,ext4,systemd,none - headless server by design; provides Webmin for administration,no
Ubuntu/Edubuntu,Binary blobs,systemd,Unity,no
Ubuntu GNOME,Binary blobs,ext4,systemd,GNOME 3,no
Ubuntu MATE,Binary blobs,ext4,systemd,MATE,no
Kubuntu,Binary blobs,ext4,systemd,KDE Plasma Workspaces,no
Xubuntu,Binary blobs,ext4,systemd,Xfce,no
Lubuntu,Binary blobs,ext4,systemd,LXQt,no
Ututo," Ututo XS (stable) is de-blobbed with Linux-libre tools. Ututo UL (development) uses Linux-libre. Ututo UL means ""Ubuntu-Libre""",ext3,systemd,GNOME,no
VectorLinux,Binary blobs,ReiserFS,sysvinit," KDE, Openbox, Fluxbox, IceWM, Xfce",no
Void Linux,Binary blobs,none,runit,no2 none,no
Webconverger,Binary blobs,gitfs,sysvinit,dwm enforcing a Browser-only interface,no
XBMC Live,Binary blobs,ext3,systemd,XBMC Media Center,no
Zentyal,Binary blobs,ext4,systemd,LXDE,no
Zenwalk,Binary blobs,ext4,sysvinit,Xfce,no
Distribution," abbr=""Kernel""  Default Linux kernel"," abbr=""File system""  Default file system"," abbr=""Init system""  Default init system"," abbr=""Environment""  Install-time desktop environment or window manager selection"," abbr=""Reproducible builds""  Reproducible builds "
