License and version,FSF approval,GPL (v3) compatibility,OSI approval,Debian approval,Fedora approval
Academic Free License,yes,no,yes,no,yes
Affero General Public License 3.0,yes,yes,yes,yes,yes
Apache License 1.x,yes,no,yes,yes,yes
Apache License 2.0,yes,GPLv3 only,yes,yes,yes
Apple Public Source License 1.x,No,no,yes,no,no
Apple Public Source License 2.0,yes,no,yes,no,yes
Artistic License 1.0,No,no,yes,yes,no
Artistic License 2.0,yes,yes,yes,yes,yes
Beerware License," see ""informal license"" section "," see ""informal license"" section "
Original BSD license,yes,no,no,yes,yes
Modified BSD license,yes,yes,yes,yes,yes
Zero-Clause BSD License,?,?,yes,?,?
Boost Software License,yes,yes,yes,yes,yes
CeCILL,yes,yes,yes,yes,yes
Common Development and Distribution License,yes,GPLv3 (GPLv2 disputed),yes,yes,yes
Common Public License,yes,no,yes,yes,yes
Creative Commons Zero,yes,yes,partial,yes
Creative Commons BY-SA 4.0,yes,GPLv3,?,yes,?
Cryptix General License,yes,yes,yes,yes,yes
Eclipse Public License,yes,no,yes,yes,yes
Educational Community License,yes,yes,yes,no,yes
Eiffel Forum License 2,yes,yes,yes,yes,yes
European Union Public Licence,yes,yes,yes,yes,?
GNU Affero General Public License,yes,yes,yes,yes,yes
GNU General Public License v2,yes,no,yes,yes,yes
GNU General Public License v3,yes,yes,yes,yes,yes
GNU Lesser General Public License,yes,yes,yes,yes,yes
GNU Free Documentation License,yes,no,yes,no,no
IBM Public License,yes,no,yes,yes,yes
Intel Open Source License,yes,yes,yes,no,no
ISC license,yes,yes,yes,yes,yes
LaTeX Project Public License,yes,no,yes,yes,yes
Microsoft Public License,yes,no,yes,no,yes
Microsoft Reciprocal License,yes,no,yes,no,yes
MIT license / X11 license,yes,yes,yes,yes,yes
Mozilla Public License 1.1,yes,no,yes,yes,yes
Mozilla Public License 2.0,yes,yes,yes,yes,yes
NASA Open Source Agreement,no,no,yes,?,no
Netscape Public License,yes,no,no,no,yes
Open Software License,yes,no,yes,no,yes
OpenSSL license,yes,no,no,yes,yes
PHP License,yes,no,yes,yes,yes
Python Software Foundation License 2.0.1; 2.1.1 and newer,yes,yes,yes,yes,yes
Q Public License,yes,no,yes,no,yes
Reciprocal Public License 1.5,no,no,yes,no,no
Sleepycat License,yes,yes,yes,yes,yes
Sun Industry Standards Source License,yes,no,yes,no,yes
Sun Public License,yes,no,yes,no,yes
Sybase Open Watcom Public License,no,no,yes,no,no
Unlicense,yes,yes,dunno,yes
W3C Software Notice and License,yes,yes,yes,yes,yes
Do What The Fuck You Want To Public License (WTFPL),yes,yes,no,yes,yes
XFree86 1.1 License,yes,yes,no,no,no
zlib/libpng license,yes,yes,yes,yes,yes
Zope Public License 1.0,yes,no,no,no,yes
Zope Public License 2.0,yes,yes,yes,no,yes
