,Imports,Exports
3ds Max," BMP, Cineon, TGA, PNG, OpenEXR, Cineon, Radiance HDR, SGI, RLA, RPF, AVI, MPEG and QuickTime, GIF, TIFF, PSD, MOV, YUV, DDS",?
Art of Illusion," PNG, BMP, HDR, SVG"," PNG, BMP, TIFF, HDR, QuickTime"
AC3D," PNG, BMP, DDS, PPM, Targa, TIFF"," PNG, BMP, DDS, PPM, Targa, TIFF"
Blender," TGA, PNG, OpenEXR, DPX, Cineon, Radiance HDR, Iris, SGI Movie, IFF, AVI and QuickTime, GIF, TIFF, PSD, MOV"," TGA, PNG, OpenEXR, DPX, Cineon, Radiance HDR, Iris, SGI Movie, IFF, AVI and QuickTime, GIF, TIFF, PSD, MOV"
Electric Image Animation System," TGA, PNG, BMP, Radiance HDR, AVI and QuickTime, TIFF, PSD, MOV"," PNG, BMP, AVI and QuickTime GIF, TIFF, MOV"
Cinema 4D,?,?
Clara.io," PNG, JPG",?
Cobalt," BMP, GIF, PNG, PPM, XBM, XPM"," BMP, GIF, PNG, PPM, XBM, XPM"
Houdini,?,?
IClone," JPG, BMP, GIF, TGA, PNG, AVI, WMV, MP3, WAV, popVideo"," JPG, BMP, GIF, TGA, PNG, WMV, AVI, MP4, popVideo, FLV, iWidget "
Lightwave 3D," TGA, PNG, AI, EPS, BMP, IFF, Radiance HDR, AVI and QuickTime, GIF, TIFF, PSD, MOV, OpenEXR"," TGA, PNG, BMP, Radiance HDR, IFF, AVI and QuickTime, GIF, TIFF, PSD, MOV, OpenEXR"
MakeHuman,?,?
Maya," Ai, Aiff, Pix, AVI, Cineon, EPS, PNG, Quantel, Quickdraw, MOV, RLA, SVG, SGI, SGI16, SGI Movie, TGA, TIF, BMP, HDR"," Maya IFF, AVI, QT, BMP, TIF, SGI RGB, Alias PIX, Jpeg, EPS, Cineon, Quantel, TGA, Macpaint, PSD, PNG, Quickdraw, DDS"
Metasequoia,?,?
Modo," TGA, BMP, FLX, PNG, SGI, openEXR, EPS, AI, PSD"," TGA, BMP, FLX, PNG, TIF, openEXR, MOV, MWV, PSD"
Remo 3D," BMP, DDS, GIF, JPG, PNG, PNM, SGI (RGB), TGA, TIF"," JPG, PNG, SGI (RGB), TIF, XPM"
Shade,?," QuickTime VR, Piranesi EPix"
Softimage,?,?
Solid Edge,?,?
SketchUp Make," PNG, TIF, TGA, BMP"," PNG, TIF, BMP"
SketchUp Pro," PNG, TIF, TGA, BMP"," PNG, TIF, BMP, MOV(on Mac), AVI (on Windows)"
Wings3D,?,?
