Software,Latest version,Latest release,Free to use,Free software,Software license,Windows,macOS,Linux,Android,iOS
[https://genery.com/ Agelong Tree],5.5,2020-04-08,no (40 Person Free Trial),no,Proprietary,yes,yes,Using Wine,no,no
Ahnenblatt,3.10,2020-05-22," no (Free demo, 50 person limit, watermarked reports; latest free version: 2.99m)",no,Proprietary,yes,no,Using Wine,no,no
Ancestral Quest,16.0.6,2020-08-10,yes (Basics version),no,Proprietary,yes,yes,Using Wine,no,no
[https://www.ancestris.org Ancestris],10,2020-02-08,yes,yes,GPL-lic,yes,yes,yes,no,no
Brothers Keeper,7.5.0,2020-04-10,yes (Unreg. ver.),no,Shareware,yes,no,Using Wine,no,no
Family Historian,6.2.7,2018-05-01,no (30-Day Free Trial),no,Proprietary,yes,no,Using Wine,no,no
Family Tree Builder,8.0,2016-08-12,yes (Free ver.),no,Proprietary,yes,yes,Using Wine,yes,yes
Family Tree Maker,2019 (24.0.1),2019-11,No,no,Proprietary,yes,yes,no,no,no
Family Tree,1.2.1,2013-10-05,no,no,Proprietary,no,yes,no,dunno,dunno
GEDitCOM II,2.3,2016-11-17," no (15-Day Free Trial, Read-Only afterwards)",no,Proprietary,no,yes,no,dunno,yes
Genbox Family History,3.7.1,2007-11-17,no (30 Day Free Trial),no,Proprietary,yes,no,Using Wine,no,no
GenealogyJ,3.0,2020-02-15,yes,yes,GPL-lic,Javagroup=generalname=javaUsing Java Virtual Machine,Javaname=java,Javaname=java,no,no
GenoPro," 2016, 3.0.0.7",2016-01-27,no (25 Person Free Trial),no,Proprietary,yes,no,Using Wine,no,no
Gramps,5.1.3,2020-08-22,yes,yes,GPL-lic,yes,yes,yes,no,no
Heredis,2020,2019-01-12,no (50 Person Free Trial),no,Proprietary,yes,yes,no,yes,yes
Kith and Kin Pro,3.2.5,2016-08-01,no (30-Day Free Trial),no,Shareware,yes,no,no,no,no
Legacy Family Tree,9.0.0.368,2020-09-29,yes (Standard Edition),No,Proprietary,yes,no,Using Wine,no,no
LifeLines,3.1.1,2016-03-17,yes,yes,MIT License,yes,yes,yes,no,no
MacFamilyTree,8.3.5,2018-04-24," no (Free Trial, but you cannot save or export your entries)",no,Proprietary,no,yes,no,no,yes
Personal Ancestral File,5.2.18.0,2002-07-23  (discontinued 2014),yes,no,Proprietary,yes,no,Using Wine,dunno,dunno
Reunion,12.0 (build 200127),2020-01-27," no (Free demo, 50 person limit, no import/export, watermarked reports)",no,Proprietary,no,yes,no,no,yes
RootsMagic,7.6.4.0,2020-08-28,yes (Essentials),no,Proprietary,yes,yes,Using Wine,yes,yes
The Master Genealogist,9.05.0000,2014-12-03 (discontinued:2015),no (30 Day Free Trial),no,Proprietary,yes,no,Using Wine,no,no
webtrees,2.0.4,2020-05-18,yes,yes,GPL-lic,dunno,dunno,dunno,dunno,dunno
