,Windows,macOS,Linux,iOS,BSD,Unix,AmigaOS,Other
Ability Photopaint,yes,no,no,,no,no,no,no
ACD Canvas,yes,Dropped,no,,no,no,no,no
ACDSee,yes,yes,no,,no,no,no,no
Acorn Image Editor,no,yes,no,,no,no,no,no
Adobe Fireworks*,yes,yes,no,,no,no,no,no
Adobe Photoshop,yes,yes,no,yes (iPad),no,no,no,no
Adobe Photoshop Lightroom,yes,yes,no,,no,no,no,no
Affinity Photo,yes,yes,no,yes (iPad),no,no,no,no
Aperture,no,yes,no,,no,no,no,no
Autodesk SketchBook Pro,yes,yes,no,yes,no,no,no,Android
Artipic,yes,yes,no,,no,no,no,no
ArtRage,yes,yes,no,yes,no,no,no,Android
Artweaver,yes,no,no,,no,no,no,no
Bibble*,yes,yes,yes,,no,no,no,no
Bloom Image Editor,yes,yes,yes,,no,no,no,no
Brush Strokes Image Editor,yes,no,no,,no,no,no,no
Capture One,yes,yes,no,,no,no,no,no
Chasys Draw IES,yes,no,no,,no,no,no,no
CinePaint,Version 0.17 only,yes,yes,,yes,yes,no,no
CodedColor PhotoStudio Pro,yes,no,no,,no,no,no,no
Corel PaintShop Pro,yes,no,no,,no,no,no,no
Corel Painter,yes,yes,no,,no,no,no,no
Corel Photo-Paint,yes,no,no,,no,no,no,no
darktable,yes,yes,yes,,yes,no,no,Solaris
Deluxe Paint*,no,no,no,,no,no,yes," Atari ST, DOS"
DigiKam,yes,yes,yes,,yes,yes,no,no
Erdas Imagine,yes,no,no,,no,yes,no,no
Fatpaint,yes,yes,yes,,no,no,no,no
Fotografix,yes,no,no,,no,no,no,no
F-Spot,no,no,yes,,yes,no,no,no
GMIC,yes,yes,yes,,yes,yes,no,no
GIMP,yes,yes,yes,No,yes,yes,Needs X11 Cygnix,SkyOS
GimPhoto,yes,yes,yes,,no,no,no,no
GIMPshop,yes,yes,yes,,yes,yes,no,no
GNU Paint,no,no,yes,,yes,no,no,no
GrafX2,yes,yes,yes,,yes,yes,yes," Haiku, MiNT, DOS"
GraphicConverter,no,yes,no,,no,no,no,no
GraphicsMagick,yes,yes,yes,,yes,no,no,no
gThumb,no,no,yes,,yes,no,no,no
HDR PhotoStudio,yes,yes,no,,no,no,no,no
Helicon Filter,yes,no,no,,no,no,no,no
ImageJ,yes,yes,yes,,yes,no,no,no
ImageMagick,yes,yes,yes,,yes,no,no,no
iPhoto*,no,yes,no,,no,no,no,no
IrfanView,yes,no,no,,no,no,no,no
Iridient Developer,no,yes,no,,no,no,no,no
Kolourpaint,yes,no,yes,,yes,yes,no,no
Krita,yes,yes,yes,,yes,yes,no,no
LazPaint,yes,Partial,yes,,no,no,no,no
LiveQuartz,no,yes,no,,no,no,no,no
MacPaint*,no,no,no,,no,no,no,Mac OS
Microsoft Office Picture Manager*,yes,yes,no,,no,no,no,no
Microsoft Paint,yes,no,no,,no,no,no,no
Microsoft Photo Editor*,yes,no,no,,no,no,no,no
mtPaint,yes,no,yes,no,no,no,no,no
MyPaint,yes,yes,yes,,yes,yes,no,no
OpenCanvas,yes,no,no,,no,no,no,no
Paint.NET,yes,no,Partial,,no,no,no,no
Paint Tool SAI,yes,no,no,no,no,no,no,no
PC Paintbrush*,no,no,no,,no,no,no,DOS
Pencil2D,yes,yes,yes,,yes,no,no,no
Phatch,yes,yes,yes,,yes,no,no,no
Photogenics,yes,no,yes,,no,no,Up to version 5,Pocket PC
PhotoLine,yes,yes,no,,no,no,no,ATARI ST
PhotoPerfect*,yes,no,no,,no,no,no,no
Photos,no,yes,no,,no,no,no,no
Photo Raster,yes,yes,yes,,yes,yes,no,no
Picasa*,yes,yes,Up to version 3.0,,no,no,no,no
PicMaster,yes,no,no,,no,no,no,no
Pinta,yes,yes,yes,,yes,yes,no,no
PixBuilder Photo Editor,yes,no,no,,no,no,no,no
Pixelmator,no,yes,no,,no,no,no,no
Pixen,no,yes,no,,no,no,no,no
Pixia,yes,no,no,,no,no,no,no
PMview,yes,no,no,,no,no,no,OS/2
Project Dogwaffle,yes,no,no,,no,no,no,no
QFX,yes,no,no,,no,no,no,DOS 3.3 and up
Rawstudio,no,yes,yes,,yes,no,no,no
RawTherapee,yes,yes,yes,,no,no,no,no
Seashore,no,yes,no,,no,no,no,no
Serif PhotoPlus,yes,no,no,,no,no,no,no
Shotwell,no,no,yes,,yes,no,no,no
Tux Paint,yes,yes,yes,,yes,yes,no,no
TVPaint,yes,yes,yes,,no,no,Up to version 3.59,no
UFRaw,yes,yes,yes,,yes,no,no,no
Ulead PhotoImpact*,yes,no,no,,no,no,no,no
Ultimate Paint*,yes,no,no,,no,no,no,no
WinImages,yes,no,no,,no,no,no,no
Xara Photo  ; Graphic Designer,yes,no,no,,no,no,no,no
XnView,yes,yes,yes,,no,no,no,varying
XPaint,no,yes,yes,,yes,yes,no,IBM AIX
Zoner Photo Studio,yes,no,no,,no,no,no,no
