Meaning,Spanish,Portuguese,Notes
"newspaper, journal ",periódico < Lat. periodĭcus < gr. περιοδικός,jornal < Fra. journal,
journalist,periodista < Lat. periodĭcus < gr. περιοδικός,jornalista < Fra. journaliste,
journey,recorrido < Lat. recurrēre,jornada < Provençal. jornada < jorn,
shop window,escaparate < Ned. schaprade,montra < Fra. montre,The French-derived term  vitrina (in both Spa/Por) or  vitrine (in Por) is also used.
"boutique, clothes store",tienda< Lat. tenda,"boutique, butique < Fra. boutique",
scarf,"bufanda < Uncertain, maybe O.Fra. bouffant","cachecol, écharpe cache-col, écharpe ",
"lampshade, bedside lamp",lámpara < Lat. < Gre. lampāda < λαμπάς,abajur < Fra. abat-jour,
New Years Eve,Nochevieja < Lat. noctis + veclus < vetūlus,Reveillon < Fra. Reveillon,
frisson,escalofrío < Lat. + prefix ex + cale+ frige,frisson < Fra. frisson,
"gaffe, blunder",metedura de pata < Lat. + Ar.  < mittēre + batt,gafe < Fra. gaffe,
brioche,"bollo de leche < Lat.  < bulla + lactis,",brioche < Fra. brioche,
croissant,medialuna < Lat.  < media + luna,"croissant, croassã < Fra. croissant  ",
"courgette, zucchini",calabacín < Pre-roman calabaza,"courgette, curgete  ",
blueberry,arándano < Celt + Lat. aran + rodamdārum,mirtilo < Fra. myrtille,In Por. arando < Celt aran means cranberry
"billy club, truncheon",porra < Lat. porrum,"cassetete, casse-tête < Fra. casse-tête  ",
creche,guardería infantil < Ger. + Lat. warda + infantīlis,creche < Fra. crèche,
voyeur,mirón < Lat. mirāri,voyeur < Fra. voyeur,
omelette,tortilla < uncertain + suffix torta + illa,omelete < Fra. omelette,
swing,columpio < Leon. < Gr. columbiar < κολυμβᾶν kolymbân,balancé < Fra. balancé,
lipstick,pintalabios < Lat. pinctāre + labium,batom < Fra. bâton,
cap,gorra < uncertain gorra,boné < Fra. bonnet,
hat,sombrero < Lat subumbrāre,chapéu < O.Fra. chapel,
"fanny, pussy",coño < Lat cunnus,chochota < Fra. chochotte,* popular slang/vulgar word in Brazil
(train) station,estación (ferrocarril) < Lat. statiōnis,gare < Fra. gare,The term gare in Port. is also used for bus-station.
"quay, jetty, key",muelle < Lat. mollis,cais < Fra. quai,The term cais in Port. is also used for railway platforms.
vehicle,vehículo < Lat. vehiculum,viatura < Fr. voiture,
"package, packaging ",envase < Lat. in + vasum,embalagem < Fr. emballage,
rissole,empanadilla rellena < Lat. + prefix en + panis + re + plenus,"rissol, rissole < Fra. rissole ",
souvenir,recuerdo < Lat. recordāri,"souvenir, suvenir < Fr. souvenir  ",
strike,huelga < Lat. follicāre,greve < Fr. grève,
