Framework,Version compared,Size,License,Source language
Angular,718 Oct 2018,563 kB (minified  ; compressed),MIT,TypeScript
AngularJS,1.5.05 Feb 2016,144 kB (minified  ; compressed),MIT,JavaScript
Apache Royale,0.9.45 Nov 2018,19 kB (zipped),Apache," ActionScript 3, MXML, CSS"
Backbone.js,1.2.1June 2015,7.3 kB (Packed and gzipped),MIT,JavaScript
Dojo,1.10.418 Jan 2015," Variable. Base size: 41 kB (minified  ; gzipped), 155 kB (minified), 598 kB (uncompressed)",BSD  ; AFL,JavaScript + HTML
Ember.js,1.7.019 Aug 2014," 95 kB (minified  ; gzipped), 340 kB (minified), 1.5 MB (uncompressed)",MIT,JavaScript
Enyo,2.0.130 Aug 2012,<25 kB (core gzipped),Apache 2,JavaScript
Express.js,,,MIT,NodeJS
Ext JS,4.213 Mar 2013,84–502 kB,GPL  ; Commercial,JavaScript
Google Web Toolkit,2.7.0November 2014,Variable,Apache,Java
jQuery (library),3.4.010 Apr 2019," 30,1 KiB (minified  ; gzipped), 86 KiB (minified), 283 KiB (uncompressed)",MIT,JavaScript
jQWidgets,3.9.129 Oct 2015," 3102 KB (minified), 7486 KB (uncompressed)",Creative Commons Attribution-NonCommercial 3.0 and Commercial," JavaScript, HTML, CSS"
Knockout,3.5.022 February 2019,66.4 KB minified / 309 KB (development mode),MIT,JavaScript
MooTools,1.6.014 Jan 2016," Variable; 7.3–65 KiB (YUI Compressor),   Variable; 7.3–65 KiB (YUI Compressor), 101 KiB (uncompressed)",MIT,JavaScript
Node.js,,,MIT,JavaScript
React (JavaScript library)," 16.1.1November 28, 2017",[https://github.com/facebook/react/releases/download/v16.1.1/react.production.min.js react.production.min.js]                     6.41KB [https://github.com/facebook/react/releases/download/v16.1.1/react-dom.production.min.js react-dom.production.min.js]            92.4KB
Total: 98.81KB,MIT,JavaScript
SAP OpenUI5,1.44.928 Mar 2017," 20.8MB (1.34.7 runtime, minified, zipped)6.8MB(1.34.7 runtime mobile, minified, zipped)52.1MB (1.34.7 SDK, zipped)",Apache 2,JavaScript
Prototype  ; script. aculo.us,Prototype: 1.7.322 Sep 2015 script.aculo.us: 1.9.023 Dec 2010,46–278 kB,MIT,JavaScript
qooxdoo,5.0.115 Sep 2015," Variable, starting at 6 kB (gzipped)",EPL,JavaScript
SproutCore,1.11.2 2 May 2016,250–700 kb (gzipped).,MIT,JavaScript
Svelte,3.12.1 14 Oct 2019,Variable,MIT,JavaScript
Vue.js,2.6.1020 Mar 2019,33.5 KB (minified  ; gzipped) 91.48 KB (minified)
333.46 KB (uncompressed),MIT,JavaScript
Wakanda,914 Nov 2014,Variable,AGPL (server)  ; [https://web.archive.org/web/20141210051445/http://www.wakanda.org/licensing-pricing Commercial],JavaScript + HTML + CSS
Webix,4.1November 2016,188 kB (gzipped),GPL  ; [https://webix.com/licenses/ Commercial],JavaScript
ZK,8.0.1 19 Jan 2016,Variable,LGPL  ; GPL  ; [http://www.zkoss.org/license/ ZOL],XML + Java (JavaScript optional)
