Meaning,Spanish,Portuguese,Notes
,alibi,coartada < Lat. coarctare,álibi < Lat. alibi,
"store, shop ",tienda < Late Lat. tendam (< tendere),loja < Fr. loge < Frankish laubja,
knee,rodilla < Lat. rotellam (little wheel),joelho < Lat. genuculum,The learned word rótula (kneecap in both Sp. and Port.) is from the same root as Spanish rodilla. Sp. de hinojos kneeling is from the same source as Port. joelho.
home,hogar < Lat. efocus,Lar < Lat. Lar,"Spanish also has lar: both words can also be used to mean ""fireplace"" (lareira in Pt.)"
street,calle < Lat. callem,rua < Lat. [viam] rūgam,
(legal) prosecutor,fiscal < Lat. fiscalis,procurador < Lat. procurator,
"highway, road ",carretera  < carro < Lat. carrus < Gaulish carros,estrada < Lat. strata,
retailer,minorista < Lat. minor + ista,retalhista < Late Lat. taliare + ista,Brazilian Port. uses varejista
sales,rebajas < Lat. prefix re + bassus,"saldos, liquidação < Ita. saldo < soldo, Lat. liquidus ",
grocer,abarrotero Uncertain < Lat. or < Pre-Roman barra,merceeiro < Lat. merx + suffix eiro,
organic food,comida orgánica < Lat. + Greek comeder+organĭcum < órganon,"alimentação biológica, Bio < Lat. + Greek alere + βίος+λογία ",Brazilian Port. tends to use  orgânica.
leather,piel < Lat. pellis,"couro, coiro < Lat. cŏrĭum ",Spanish also has cuero. Portuguese pele usually means skin or fur.
"fight, brawl ",pelea < Lat. pilus,briga < Ita. or Occitan briga,
"riff-raff, mob ",chusma < Genoese ciüsma < Gr. κέλευσμα,canalha < Occitan canalha," Brazilian Port. tends to use ralé, gentalha"
police station,comisaría (de policía) < Lat. + Gr. comissarius + politia < πολιτεία,"esquadra, posto de polícia < Lat. + Gr. ex-quadrata, positus + politia < πολιτεία ",Brazilian Port. tends to use delegacia (de polícia)
"litter, rubbish ",basura < Lat. versūra,lixo < Lat. līx < līcis,
hole,agujero < Lat. + suffix acucŭla + ero,"buraco < Proto-Germanic burō, burōną ",
drill,taladro < Lat. taratrum,berbequim < Fr. vilebrequin < Dutch wimmelkijn,Brazilian Por. uses furadeira
demolition hammer,rompedor < Lat. rumpere + dor,martelo demolidor < Lat. martulus demolitio + dor,
sauce,salsa < Lat. salsus,molho < Lat. manuculus < manipulus,
plane,cepilladora < Lat. cippus + dora,plaina < Lat. planea,
"camshaft, camshaft tree ",árbol de levas < Lat. arbōs + levare,árvore de cames < Lat. + Germanic arbōs + kamm,
gills,branquias < Lat. < Gr.  branchĭa < βραγχια,guelras < Proto-Germanic gelunaz," In zoology, Port. also uses brânquias (branchiae)."
goose,oca < Lat. auca,ganso < Gothic/Suebian gans,Spanish also has ganso.
chicken,pollo < Lat. pullus,"frango < Probably Fr. francolin < Ita. francolino, all of uncertain origin"
