UK,US
accelerator,"gas [pedal], accelerator"
bonnet,hood
boot,trunk (of a car)
breakdown van,tow truck
car journey,road trip
car park,parking lot
crash barrier,guardrail
driving licence,drivers license
dual carriageway,divided highway
estate car,station wagon
exhaust pipe,tail pipe
fire engine,fire truck
flyover,"overpass, flyover"
gearbox,transmission
gear lever,gear shift
give way,yield
hard shoulder,shoulder
"hired car, hire car ","rental car, rental"
"hood, soft/hard top","convertible top, soft/hard top"
indicator,turn signal; blinkers
"juggernaut, lorry","semi, semi-truck, 18 wheeler, tractor-trailer"
jump lead,jumper cable
junction,fork (in the road)
lorry,truck
articulated lorry,"trailer truck, semi"
manual,"stick shift, manual"
marshalling yard,railway yard
metalled road,cobble-stone road; paved road
motorway,"freeway, highway or expressway"
"mudguard, wheel arch, wing",fender
number plate,licence plate
overtake (a vehicle),pass (a vehicle)
"pavement, footpath",pavement
pedestrian crossing,crosswalk
petrol,gasoline or gas
petrol station,gas station
police car,patrol car
public transport,public transportation
racing car,race car
railway,railroad
roadworks,"construction zone, roadwork"
saloon,sedan
shield,bumper
silencer,muffler
spanner,wrench
ticking over,idling
transport café,truck stop
underground (tube),subway
windscreen,windshield
car valeting,auto detailing
