read-write,read-only,write-only
ABAP Objects,n/a,,
C++ (STL),type ; operator[](type index) { instructions },type operator[](type index) { instructions },
C#,type this[type index] {  get{ instructions }  set{ instructions } },type this[type index] { get{ instructions } },type this[type index] { set{ instructions } }
D," type opIndex(type index) { instructions }  type opIndexAssign(type value, type index) { instructions }",type opIndex(type index) { instructions }," type opIndexAssign(type value, type index) { instructions }"
Java,n/a,,
Objective-C (recent Clang compiler),n/a,- (id)objectAtIndexedSubscript:(NSUInteger)index { instructions return value; } or- (id)objectForKeyedSubscript:(id)index { instructions return value; },- (void)setObject:(id)value atIndexedSubscript:(NSUInteger)index { instructions } or- (void)setObject:(id)value forKeyedSubscript:(id)index { instructions }
Swift,subscript (index : type) -> returntype { get { instructions } set«(newIndex)» { instructions } },subscript (index : type) -> returntype { instructions },
Eiffel,bracket_name alias "[]" (index: TYPE): TYPE assign set_item do instructions end  set_item (value: TYPE; index: TYPE): do instructions end,bracket_name alias "[]" (index: TYPE): TYPE do instructions end,
Python," def __getitem__(self, index):  Tab instructions  Tab return value  def __setitem__(self, index, value):  Tab instructions"," def __getitem__(self, index):  Tab instructions  Tab return value"," def __setitem__(self, index, value):  Tab instructions"
Visual Basic .NET,Default Property Item(Index As type) As type  Get  instructions  End Get  Set(ByVal Value As type)  instructions  End Set  End Property,Default ReadOnly Property Item(Index As type) As type  Get  instructions  End Get  End Property,Default WriteOnly Property Item(Index As type) As type  Set(ByVal Value As type)  instructions  End Set  End Property
PHP,,,
Perl,,,
Raku,«our «type »»«multi »method postcircumfix: is rw («$self: » type $index) { instructions ... return value; } or «our «type »»«multi »method postcircumfix: is rw  («$self: » type $key) { instructions ... return value; },«our «type »»«multi »method postcircumfix:(«$self: » type $index) { instructions ... return value; } or «our «type »»«multi »method postcircumfix: («$self: » type $key) { instructions ... return value; },n/a
Ruby," def [](index)  instructions  expression resulting in return value  end  def []=(index, value)  instructions  end",def [](index)  instructions  expression resulting in return value  end," def []=(index, value)  instructions  end"
Windows PowerShell,n/a,,
OCaml,
F#,member this.Item with get(index) = expression and set index value = expression,member this.Item with get(index) = expression,member this.Item with set index value = expression
COBOL,n/a,,
Cobra,pro[index «as type»] as typeTab getTabTab instructionsTabTab return valueTab setTabTab instructions,get[index «as type»] as typeTab instructionsTab return value,set[index «as type»] as typeTab instructions
