Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,
,,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MiB),Bandwidth (GB/s),Bus type,Bus width (bit)
Radeon 9500,Oct. 24, 2002",R300 (Khan),150,AGP 8x,275,270,4:4:4:4,1100,2200,1100,275," 64, 128"," 8.64, 17.28",DDR," 128, 256"
Radeon 9500 Pro,,,,,,,8:4:8:8,2200,2200,2200,,128,8.64,,128
Radeon 9550,2004,RV350 (Shivah),130,,250,200,4:2:4:4,1000,1000,1000,125,64, 128, 256",6.4,,
Radeon 9550 SE,,,,,,,,,,,,,3.2,64
Radeon 9600,2003,,,325,1300,,,1300,1300,162.5,128, 256",6.4,128
Radeon 9600 Pro," Mar. 6, 2003",,,400,300,1600,,1600,1600,200,,9.6,
Radeon 9600 SE,2003,,,325,200,1300,,1300,1300,162.5," 64, 128, 256",3.2,64
Radeon 9600 XT," Sept. 30, 2003",RV360,,500,300,2000,,2000,2000,250," 128, 256",9.6,128
Radeon 9600 TX,2003 (Medion OEM),R300 (Khan),,297,270,8:4:8:8,2376,2376,2376,287,128,8.6,
Radeon 9700 TX,2002 (Dell OEM),,150,263,263,,2104,2104,2104,275,,16.83,256
Radeon 9700," Oct. 24, 2002",,,275,270,,2200,2200,2200,,,17.28,
Radeon 9700 Pro," July 18, 2002",,,325,310,,2600,2600,2600,325,,19.84,
Radeon 9800,2003,,,,,,,,,,,,,R350
Radeon 9800 XL,,,,,,,,,,,,,,,350,2800,2800,2800,350
Radeon 9800 XXL," Oct. 1, 2003",R360,390,338,3120,3120,3120,390,21.60,256
Radeon 9800 Pro," Mar. 1, 2003"," R350, R360",380," 340, 350",3040,3040,3040,380,128, 256"," 21.76, 22.40"," DDR, GDDR2",256
Radeon 9800 SE," Mar. 1, 2003",R350," 325, 380"," 270, 340",4:4:4:4," 1300, 1520"," 1300, 1520"," 1300, 1520",," 325, 380"," 8.64, 21.76",DDR," 128, 2562"
Radeon 9800 XT," Sept. 9, 2003",R360,412,365,8:4:8:8,3296,3296,3296,412,256,23.36,,256
Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MiB),Bandwidth (GB/s),Bus type,Bus width (bit)
Fillrate,,,,,,,,,Memory,,,
