Software,Passworded,Networking,
User-specific permissions,,Simultaneous write access
Bebop,no,n/a,n/a
BibBase,n/a,n/a,n/a
BibDesk,yes,no,no
Biblioscape,yes,yes,yes
BibSonomy,yes,yes,yes
Bibus,dunno,dunno,dunno
Bookends,dunno,dunno,dunno
Citavi,yes,yes,yes
CiteULike,yes,no,yes
colwiz,yes,yes,yes
EndNote,yes,no,no
F1000Workspace,yes,yes,yes
JabRef,no,no,partial
KBibTeX,no,n/a,n/a
Mendeley,yes,yes,yes
Paperpile,yes,yes,yes
Pybliographer,dunno,dunno,dunno
Qiqqa,yes,yes,yes
ReadCube (now Papers),yes,yes,no
refbase,yes,yes,yes
RefDB,yes,yes,yes
Reference Manager,yes,no,yes
Referencer,dunno,dunno,dunno
RefWorks,yes,dunno,yes
Sente,yes,yes,yes
Wikindx,yes,yes,yes
WizFolio,yes,yes,yes
Zotero,yes,yes,yes
