Implementation,sect163k1NIST K-163(1),sect163r1(2),sect163r2NIST B-163(3),sect193r1(4),sect193r2(5),sect233k1NIST K-233(6),sect233r1NIST B-233(7),sect239k1(8),sect283k1NIST K-283(9),sect283r1NIST B-283(10),sect409k1NIST K-409(11),sect409r1NIST B-409(12),sect571k1NIST K-571(13),sect571r1NIST B-571(14)
Botan,No,No,No,No,No,No,No,No,No,No,No,No,No,No
BoringSSL,No,No,No,No,No,No,No,No,No,No,No,No,No,No
GnuTLS,No,No,No,No,No,No,No,No,No,No,No,No,No,No
JSSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,yes,yes,yes,yes
LibreSSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,yes,yes,yes,yes
MatrixSSL,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mbed TLS,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NSS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,yes,yes,yes,yes
OpenSSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,yes,yes,yes,yes
RSA BSAFE,Yes,No,Yes,No,No,Yes,Yes,No,yes,yes,yes,yes,yes,yes
" SChannel Vista/2008, 7/2008R2, 8/2012, 8.1/2012R2, 10",No,No,No,No,No,No,No,No,No,No,No,No,No,No
Secure Transport,No,No,No,No,No,No,No,No,No,No,No,No,No,No
wolfSSL,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Erlang/OTP SSL application,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,yes,yes,yes,yes
Implementation,sect163k1NIST K-163(1),sect163r1(2),sect163r2NIST B-163(3),sect193r1(4),sect193r2(5),sect233k1NIST K-233(6),sect233r1NIST B-233(7),sect239k1(8),sect283k1NIST K-283(9),sect283r1NIST B-283(10),sect409k1NIST K-409(11),sect409r1NIST B-409(12),sect571k1NIST K-571(13),sect571r1NIST B-571(14)
