width=30% Language,width=30% In-line comment,width=40% Block comment
"Ada, Eiffel, Euphoria, Occam, SPARK, ANSI SQL, and VHDL",-- InlineComment,
ALGOL 60,,comment BlockComment;
ALGOL 68,,¢ BlockComment ¢ comment BlockComment comment co BlockComment co # BlockComment # £ BlockComment £
APL,⍝ InlineComment,
AppleScript,-- InlineComment,(* BlockComment *)
Assembly language (varies),; InlineComment   one example (most assembly languages use line comments only),
AutoHotkey,; InlineComment,/* BlockComment */
"AWK, Bash, Maple, R, Tcl, and Windows PowerShell",# InlineComment,
BASIC (various dialects):,;#39;InlineComment (not all dialects) REM InlineComment,
"C (K ;R, ANSI/C89/C90), CHILL, PL/I, and REXX",,/* BlockComment */
"C (C99), Go, Swift and JavaScript",// InlineComment,/* BlockComment */
C#,// InlineComment/// InlineComment (XML documentation comment),/* BlockComment *//** BlockComment */ (XML documentation comment)
COBOL I to COBOL 85,* InlineComment (* in column 7),
COBOL 2002,*> InlineComment,
Curl,;#124; ;#124; InlineComment,;#124;# BlockComment # ;#124;  ;#124;foo# BlockComment # ;#124;
Cobra,# InlineComment,/# BlockComment #/ (nestable)
D,// InlineComment/// Documentation InlineComment (ddoc comments),"/* BlockComment *//** Documentation BlockComment */ (ddoc comments) /+ BlockComment +/ (nestable)/++ Documentation BlockComment +/ (nestable, ddoc comments)"
DCL,$! InlineComment,
"ECMAScript (JavaScript, ActionScript, etc.)",// InlineComment,/* BlockComment */
Forth,\ InlineComment,( BlockComment ) (single line as well as multiline) ( before -- after ) stack comment convention
FORTRAN I to FORTRAN 77,C InlineComment (C in column 1),
Fortran 90,InlineComment,
Haskell,-- InlineComment,{- BlockComment -}
Java,// InlineComment,/* BlockComment */ /** BlockComment */ (Javadoc documentation comment)
Lisp and Scheme,; InlineComment,# ;#124; BlockComment  ;#124;#
Lua,-- InlineComment,--[==[ BlockComment]==] (variable number of = signs)
Maple,# InlineComment,(* BlockComment *)
Mathematica,,(* BlockComment *)
Matlab,% InlineComment,%{BlockComment (nestable)%}Note: Both percent–bracket symbols must be the only non-whitespace characters on their respective lines.
Object Pascal (Delphi),// InlineComment,(* BlockComment *){ BlockComment }
OCaml,,(* BlockComment (* nestable *) *)
"Pascal, Oberon, and ML:",,(* BlockComment *)
Ruby,# InlineComment,=beginBlockComment=cut (=end in Ruby) (POD documentation comment) __END__Comments after end of code
PHP,# InlineComment// InlineComment,/* BlockComment *//** Documentation BlockComment */ (PHP Doc comments)
PILOT,R:InlineComment,
PLZ/SYS,,BlockComment !
PL/SQL and TSQL,-- InlineComment,/* BlockComment */
Prolog,% InlineComment,/* BlockComment */
Python,# InlineComment," BlockComment """""" BlockComment """""" (Documentation string when first line of module, class, method, or function)"
Raku,# InlineComment,#`{BlockComment} =comment    This comment paragraph goes until the next POD directive    or the first blank line.
Red,; InlineComment,{ BlockComment }
Rust,"// InlineComment /// InlineComment  (""Outer"" rustdoc comment) //! InlineComment  (""Inner"" rustdoc comment)","/* BlockComment */  (nestable) /** BlockComment */  (""Outer"" rustdoc comment) /*! BlockComment */  (""Inner"" rustdoc comment)"
SAS,,* BlockComment;/* BlockComment */
Seed7,# InlineComment,(* BlockComment *)
Simula,,comment BlockComment;! BlockComment;
Smalltalk,,"""BlockComment"""
Smarty,,{* BlockComment *}
Standard ML,,(* BlockComment *)
"Erlang, Elixir and S-Lang",% InlineComment,
Texinfo,@c InlineComment @comment InlineComment,
TUTOR,* InlineCommentcommand       $$ InlineComment,
Visual Basic,InlineCommentRem InlineComment,
Visual Basic .NET,InlineComment  InlineComment (XML documentation comment) Rem InlineComment,
Visual Prolog,% InlineComment,/* BlockComment */
Wolfram Language,,(* BlockComment *)
Xojo,InlineComment// InlineCommentrem InlineComment,
