scope="col"  Name",scope="col"  Year released",scope="col"  Market",scope="col"  Processor",,Device ID",scope="col"  Execution units",scope="col"  Core clock (MHz) ",scope="col"  Memory",,scope="col"  API  support",,scope="col"  Intel Clear Video HD"
,,,," scope="col"  Code name",,,," scope="col"  Model"," scope="col"  DVMT(MB)"," scope="col"  Bandwidth(GB/s)"," scope="col"  Direct3D",," scope="col"  OpenGL"
,scope="row"  HD Graphics",2010",Desktop",Ironlake (Clarkdale)",Celeron G1101,0042",12",533",1720",17",10.1FL10_0",2.1ES 2.0Linux",No"
,,,,,Pentium G69xx,,,,,,,,
,,,,,Core i3-5x0,,,733",,21.3",,,Yes"
Core i5-6x0,,,,,,,,,,,,
Core i5-655K,,,,,,,,,,,,
Core i5-661,,,,,900,,,,,
,,,Laptop",Ironlake (Arrandale)",Celeron U3xxx,0046",166–500",12.8",No"
,,,,,Pentium U5xxx,,,,
Core i3-3x0UM,,,,,Yes",,,
Core i5-5x0UM,,,,,,,,
Core i5-2520M,,,,,,,,
Core i7-6x0UE,,,,,,,,
Core i7-6x0UM,,,,,,,,
Core i7-620LE,,,,,,,266–566",17.1"
Core i7-6x0LM,,,,,,,,
Celeron P4xxx,500–667",No"
Pentium P6xxx,,
,,Core i3-330E,Yes"
Core i3-3x0M,,
Core i5-4x0M,500–766",
Core i5-520E,,
Core i5-5x0M,,
Core i7-610E,,
Core i7-6x0M,,
