Server,Windows,Linux,macOS,BSD,Solaris,eComStation,OpenVMS,AIX,IBM i,z/OS,HP-UX
"!,No,Yes,Yes,Yes,Yes,No,No,Unknown,No,Unknown,Unknown
"!,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"!,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
"!,Unknown,Yes,No,Yes,Unknown,No,No,Unknown,No,Unknown,Unknown
"!,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Unknown,Unknown,Unknown
"!,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"!,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Unknown,Unknown
"!,No,Yes,Yes,Yes,Yes,No,No,Unknown,No,Unknown,Unknown
"!,Unknown,Yes,Yes,Yes,Unknown,No,No,No,No,No,No
"!,Yes,No,No,No,No,No,No,No,No,No,No
"!,with Cygwin," Yes"," Yes"," Yes"," Yes",No,No,No,No,No,No
"!,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes
"!,Yes,No,No,No,No,No,No,No,No,No,No
"!,Yes,Yes,Yes,Yes,Yes,Yes,No,Unknown,No,Yes,Unknown
"!,No,Yes,No,Yes,Unknown,No,No,No,No,No,No
"!,Yes(Cygwin),Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes
"!,No,Yes,Yes,Yes,Yes,No,No,Unknown,No,Unknown,Unknown
"!,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
"!,No,Yes,Yes,No,No,No,No,No,No,No,No
"!,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,No,Unknown,Unknown
"!,Unknown,Yes,No,Yes,Yes,Yes,No,Unknown,No,Unknown,Yes
"!,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes
"!,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes
"!,Yes,Yes,No,Unknown,Yes,No,No,Yes,No,Unknown,Unknown
"!,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes
"!,Yes(Cygwin),Yes,Yes,Yes,Yes,No,No,Unknown,No,Unknown,Unknown
"!,No,Yes,No,No,No,No,No,No,No,No,No
"!,Yes,Yes(via libbsd),Yes,Yes,Unknown,No,No,No,No,No,No
"!,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Unknown,Yes
"!,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Unknown,Unknown
