Product,Manufacturer,Web browser,Wireless synching,Ad hoc,On-demand,Web radio/TV
" Archos 5, 7",Archos,Opera,,,,
" Archos 604 WiFi, 704 WiFi",Archos,Opera 8.5,yes2file browsing,no,no,
" Archos 605 WiFi, 705 WiFi",Archos,Opera 9,yes2file browsing,no,Content Portals,yes
Archos PMA400,Archos,Opera,yes2via FTP,yes,no,
Cowon Q5W,Cowon,IE Mobile,,,,Yes (using Flash-based Internet Radio sites)
Ibiza Rhapsody,Haier,Minimo,yes,no,Rhapsody,yes2radio only
iPod Touch,Apple Inc.,Webkit,yes,yes," iTunes, Spotify",yes
Samsung Galaxy Player,Samsung,Webkit,,,Android Marketplace,
Sansa Connect,SanDisk,no,,,Yahoo! Music,
Sony PSP,Sony,NetFront,Yes,Yes,PlayStation Store,Yes
Sony Walkman X Series,Sony,NetFront,no,yes,,yes
ZEN X-Fi,Creative,no,media server,no,Creative MediaBox,no
" Zune 4, 8",Microsoft,no,yes,yes,Zune Marketplace,
Zune 30,Microsoft,no,yes,yes,Zune Marketplace,
" Zune 80, 120",Microsoft,no,yes,yes,Zune Marketplace,
Zune HD,Microsoft,IE Mobile 6,yes,yes,Zune Marketplace,
