Graphics,Launch,Market,Processor,,Code name,Device ID,Memory  bandwidth(GB/s),DVMT (MB),QSV
,,,,,,,,,,Direct3D,OpenGL,OpenCL,Vulkan
HD Graphics,2012,Desktop,Celeron G16x0  Celeron G1610T  Pentium G2xx0  Pentium G2xx0T,Ivy Bridge,015A,650–1050,48:6:1  (GT1),11.1  FL11_0,4.0Windows  4.1macOS  4.2Linux  ES 3.0Linux,1.2,(1.0)Linux,25.6,1720,No
,,Mobile,Celeron 10x0MCeleron 10x7UPentium 2117UPentium 20x0M,,,350–1100,,,,,,,,
HD Graphics 2500,,Workstation,Xeon E3-1265LV2,,0152,650–1150,,,,,,,,Yes
,,Desktop,Core i3-32x0Core i3-32x0TCore i5-3xx0Core i5-3xx0SCore i5-3xx0T,,,,,,,,,,,
,,,HD Graphics 4000,Core i3-3225Core i3-3245Core i5-3475SCore i5-3570KCore i7-3770Core i7-3770x,0162,,,,,,,,,,128:16:2(GT2)
,,,,Mobile,Core i3-3110M,,,,,,,,,,,0166,650–1000
,,,,,Core i3-3120M  Core i5-3210M,,,,,,,,,,,,650–1100
,,,,,Core i3-3120ME,,,,,,,,,,,,650–900
,,,,,Core i3-3217U  Core i5-3317U,,,,,,,,,,,,350–1050
,,,,,Core i3-3217UE,,,,,,,,,,,,350–900
,,,,,Core i3-3229Y  Core i5-3339Y  Core i5-3439Y,,,,,,,,,,,,350–850
,,,,,Core i5-33x0M,,,,,,,,,,,,650–1200
,,,,,Core i5-3337U,,,,,,,,,,,,350–1100
,,,,,Core i5-3427U,,,,,,,,,,,,350–1150
,,,,,Core i5-3610ME,,,,,,,,,,,,650–950
,,,,,Core i7-3520MCore i7-3xx7UCore i7-3xxxQMCore i7-3920XM,,,,,,,,,,,,350–1300
HD Graphics P4000,Workstation,Xeon E3-12x5V2,016A,650–1250
HD Graphics,2013,Tablet,Atom Z3735D  Atom Z3735E  Atom Z3735F  Atom Z3735G  Atom Z3736F  Atom Z3736G,Valleyview  (Bay Trail),0F30 0F31 0F32 0F33 0155 0157,311-646,32:4:1,11,4.0 ES 2.0/1.1Linux,1.2,(1.0)Linux,10.7,2048,Yes
,,,Atom Z3680,,,311-667,,,,,,8.5,,
,,,Atom Z3740  Atom Z3770,,,,,,,,,17.1,,
,,,Atom Z3680D  Atom Z3740D  Atom Z3770D,313-688,10.7,,,,,,,
,,,Atom Z3745  Atom Z3775  Atom Z3795,311-778,17.1,,,,,,,
,,,Atom Z3745D  Atom Z3775D,311-792,10.7,,,,,,,
,,,Atom Z3785,313-833,21.3,,,,,,,
,,Laptop,Celeron N2805,313-667,11.2,4.0Windows  4.2Linux  ES 3.0Linux,,1.2,8.5,,,
,,,Celeron N2807,313-750,,,,,10.7,,,
,,,Celeron N2830  Pentium&nbsp;N3510,,,,,,21.3,,,
,,,Celeron N2806,313-756,,,,,8.5,,,
,,,Celeron N2810  Celeron N2815  Celeron N2820  Celeron N2910,,,,,,17.1,,,
,,,Celeron N2808,311-792,,,,,10.7,,,
,,,Celeron N2840,,,,,,21.3,,,
,,,Celeron N2920,313-844,,,,,17.1,,,
,,,Celeron N2930  Celeron N2940  Pentium N3520,313-854,,,,,21.3,,,
,,,Pentium N3530  Pentium N3540,313-896,,,,,,,,
Embedded,Atom E3815,400-400,8.5
,Atom E3825,533-533,
,Atom E3826,533-667,17.1
,Atom E3827  Atom E3845,542-792,21.3
Desktop,Celeron J1750,688-750,
,Celeron J1800  Celeron J1850,688-792,
,Celeron J1900  Pentium J2850,688-854,
,Pentium J2900,688-896,
??,Pentium A1020,,
HD Graphics,2013,Desktop,Pentium G3xxx,Haswell,04020406040A040B040EULT:0A020A060A0A0A0B0A0E,350–1150,80:10:1(GT1),12  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,,(1.0)Linux,,,25.6,2048,Yes
,,,Pentium G3xxxT,,,200–1100,,,,,,,,,,,
,,,Celeron G18xx,,,350-1050,,,,,,,,,,,
,,,Celeron G18xxT,,,200-1050,,,,,,,,,,,
,,Mobile,Celeron 2950MPentium 3550M,,,400–1100,,,,,,,,,,,
,,,Celeron 29xxUPentium 35xxU,,,200–1000,,,,,,,,,,,
,,,Celeron 29xxYPentium 35xxY,,,200–850,,,,,,,,,,,
HD Graphics 4200,ULT Mobile,Core i3-40xxYCore i5-4xxxYCore i7-4610Y,04120416041A041B041EULT:0A120A160A1A0A1B0A1E,,200–850,160:20:2(GT2),Yes,,,,,,,,,
HD Graphics 4400,Desktop,Core i3-4130Core i3-4150Core i3-4160Core i3-4170,,,350–1150,,,,,,,,,,,
,,Core i3-4130TCore i3-4150TCore i3-4160TCore i3-4170T,,,200–1150,,,,,,,,,,,
,Mobile,Core i3-4005UCore i3-4025U,,,200–950,,,,,,,,,,,
,,Core i3-4010UCore i3-4100UCore i5-4200UCore i3-4030UCore i3-4120U,,,200–1000,,,,,,,,,,,
,,Core i5-4300U Core i7-4500U Core i7-4600U,,,200–1100,,,,,,,,,,,
HD Graphics 4600,Desktop,Core i3-4330Core i3-4340Core i5-4570Core i5-4570SCore i5-4590Core i5-4590SCore i5-4590T,,,350-1150,,,,,,,,,,,
,,Core i3-4330TCore i5-4570T,,,200-1150,,,,,,,,,,,
,,Core i5-4430  Core i5-4430S  Core i5-4440  Core i5-4440S,,,350–1100,,,,,,,,,,,
,,Core i5-4670Core i5-4670KCore i5-4670SCore i5-4670TCore i5-4690Core i5-4690KCore i5-4690SCore i5-4690TCore i7-4765TCore i7-4770Core i7-4770SCore i7-4770TCore i7-4771,,,350–1200,,,,,,,,,,,
,,Core i7-4770K Core i7-4790K,,,350–1250,,,,,,,,,,,
,Mobile,Core i3-4xxxECore i5-4402E,,,400–900,,,,,,,,,,,
,,Core i3-4xxxM,,,400–1100,,,,,,,,,,,
,,Core i5-4200MCore i5-4200HCore i7-47xxMQCore i7-4702HQ,,,400–1150,,,,,,,,,,,
,,Core i5-43xxM,,,400–1250,,,,,,,,,,,
,,Core i5-4400ECore i7-4700EQ,,,400–1000,,,,,,,,,,,
,,Core i7-4700HQ,,,400–1200,,,,,,,,,,,
,,Core i7-4xxxMCore i7-4800MQCore i7-4900MQ,,,400–1300,,,,,,,,,,,
,,Core i7-4930MX,,,400–1350,,,,,,,,,,,
HD Graphics P4600,Workstation,Xeon E3-1225 v3 Xeon E3-1226 v3 Xeon E3-1245 v3 Xeon E3-1246 v3,,,350–1200,,,,,,,,,,,
,,Xeon E3-1275 v3 Xeon E3-1276 v3,,,350–1250,,,,,,,,,,,
HD Graphics P4700,Workstation,Xeon E3-1285L v3 Xeon E3-1286L v3,,,350–1250,,,,,,,,,,,
,,Xeon E3-1285 v3 Xeon E3-1286 v3,,,350–1300,,,,,,,,,,,
HD Graphics 5000,ULT Mobile,Core i5-4250U,04220426042A042B042EULT:0A220A260A2A0A2B0A2E,,200–1000,320:40:4(GT3),,,,,,,,,,
,,Core i5-4350U Core i7-4550U Core i7-4650U,,,200–1100,,,,,,,,,,,
Iris Graphics 5100,,Core i3-4158U Core i5-4258U,,,200–1100,,,,,,,,,,,
,,Core i5-4288U Core i7-4558U,,,200–1200,,,,,,,,,,,
Iris Pro Graphics 5200,Desktop,Core i5-4570R,0D220D260D2A0D2B0D2E,,200–1150,320:40:4+eDRAM(GT3e),,,,,,,,,,
,,Core i5-4670RCore i7-4770R,,,200–1300,,,,,,,,,,,
,Mobile,Core i7-4750HQ Core i7-4850HQ,,,200–1200,,,,,,,,,,,
,,Core i7-49xxHQ,,,200–1300,,,,,,,,,,,
