ADC hub,FOSS,Software license,Active,Last Update,Notes
ADCH++,yes,GPL,yes,2016-03-08 / 2.12.1
ADCH++ GUI,yes,GPL,no,
DSHub,yes,GPL,no,2008-10-09 / RC1
FlexHub,yes,AGPL,yes,2013-10-20 / 0.2 svn 1469
Luadch,yes,GPLv2,yes,2019-10-13 / v2.20
Nexthub,yes,MIT License,no,
uhub,yes,GPL,yes,2014-10-17 / 0.5.0,In Debian and OpenWrt
ErlHub,yes,GPL,dunno,
Qhub,yes,GPL,no,2006-07-09 / v0.10
Starlet ADC Hub,No,proprietary,yes,
Starhub,No,source code available,No,
RusHub,yes,GPL,yes,2012-07-10 / 2.3.10
ADC hub,FOSS,Software license,Active,
