File archivers,ZIP,TAR,Gzip/Deflate ZIPx,Bzip2/BZ2 ZIPx,7z,XZ ZIPx,RAR,LHA/LZH,ACE,StuffIt,StuffIt X,ARJ,KGB,DAR,ARC,CAB,ALZ,ISO/CD Image,ZPAQ,Special
7-Zip,yes,yes,writing-7-Zip14,writing-7-Zip14,yes,writing-7-Zip14,no,no,no,no,no,no,no,no,no,no,no,no,no,
ALZip6,yes,yes,yes,yes,no,unk,no,no,no,no,no,no,no,no,no,yes,yes,unk,no,
Archive Manager,yes,yes,yes,yes,yes,yes,writing-archivemanager12,yes,unk,unk,unk,yes,unk,unk,unk,unk,unk,no,no,
Archive Utility,yes,no,no,no,no,unk,no,no,no,no,no,no,no,no,no,no,no,no,no,
Ark,yes,yes,yes,yes,yes,yes,writing-ark10,yes,no,no,no,no,no,no,no,no,no,no,no,
B1 Free Archiver,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
BetterZip,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,
bsdtar/libarchive,yes,yes,writing-bsdtar15,writing-bsdtar15,yes,writing-bsdtar15,no,no,no,no,no,no,no,no,no,no,no,yes,no,
Commander One,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
CRAX Commander,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,
Disk ARchiver,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,
Filzip,yes,yes,yes,no,no,unk,no,yes,no,no,no,no,no,unk,unk,unk,unk,unk,no,
FreeArc,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,
GNU tar,no,yes,tar-compression-w1,tar-compression-w1,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,
iArchiver,yes,yes,yes,yes,yes,unk,no,no,no,no,no,no,no,no,no,no,no,no,no,
Info-ZIP,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
KGB Archiver,yes,no,no,no,no,unk,no,no,no,no,no,no,yes,unk,unk,unk,unk,unk,no,
PeaZip,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,
PKZIP,yes,yes,yes,yes,no,unk,no,no,no,no,no,no,no,unk,unk,unk,unk,unk,no,
PowerArchiver 2018,yes,yes,yes,yes,yes,yes,writing_PowerArchiever_rar17,yes,no,no,no,no,no,no,no,yes,no,no,yes,.bh (BlakHole) by ZipTV
Star,no,yes,tar-compression-w1,tar-compression-w1,tar-compression-w1,tar-compression-w1,no,no,no,no,no,no,no,no,no,no,no,no,no,
StuffIt-only4,yes,yes,yes,yes,no,unk,StuffIt9,yes,no,yes,yes,no,no,unk,unk,unk,unk,unk,no,
TUGZip,yes,yes,yes,yes,yes,unk,writing-tugzip2,yes,writing-tugzipace4,no,no,no,no,no,no,yes,no,unk,no,
WinAce,yes,yes,yes,yes,no,unk,no,yes,yes,no,no,no,no,unk,unk,yes,unk,yes,no,
WinRAR,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,
WinZip,yes,no,no,no,no,no,no,no,no,no,no,writing-winzip3,no,no,no,no,no,no,no,ZIPx
Xarchiver,yes,yes,yes,yes,yes,unk,writing-xarchiver11,yes,no,unk,unk,yes,unk,unk,unk,unk,unk,unk,no,
ZipGenius,yes,zipgenius-updating7,zipgenius-updating7,zipgenius-updating7,yes,unk,no,zipgenius-external8,no,no,no,no,no,no,unk,zipgenius-updating7,no,no,no,
,ZIP,TAR,Gzip/Deflate ZIPx,Bzip2/BZ2 ZIPx,7z,XZ ZIPx,RAR,LHA/LZH,ACE,SIT,SITX,ARJ,KGB,DAR,ARC,CAB,ALZ,ISO/CD Image,ZPAQ,Special
