Platform,Primary Domain,Supporting Organization,License,Programming Language,Operating System,User Support,GIS Capabilities,3D Capabilities,Last Update
Altreva Adaptive Modeler,Building agent-based market simulation models for price forecasting of real-world stocks and other securities," Altreva; Utrecht, Netherlands",Proprietary; free evaluation version available for research and experimentation (some limitations but no expiration),No programming skills required. An adaptive form of genetic programming is used to create trading rules. Users can select functions to be used in the genetic programming engine.,Windows," FAQ, documentation, tutorial, examples, forum, email support",unk,yes Up to 3 agent properties can be visualized in real-time using 2D graphics and color,2020-05-04 (Version 1.5.5)
AnyLogic,Agent-based general purpose; also supports discrete event and system dynamics simulations.," The AnyLogic Company; Oakbrook Terrace, Illinois, USA",Proprietary; Free Personal Learning Edition available,Java," Linux, macOS, Windows",Demos; training; online community; ask a question; online help; tutorials; consulting services,yes: supports both tile maps from free online providers and shapefile-based maps,yes,2020-08-13
Cougaar," Multi-agent systems; highly distributed, scalable, reliable, survivable applications; Domain independent; large scale distributed, complex, data intensive (can be configured for small-scaled embedded applications)"," Cougaar Software Inc.; Vienna, Virginia, USA].",Cougaar Open Source License (COSL) is a modified version of the OSI approved BSD License,Java," Linux, macOS, Windows",FAQ; tutorials; slide shows; documentation; selected references; email support; public forums; mailing lists,yes Integrated with OpenMap,No,2012
Framsticks,2D/3D simulations of (evolving) multi-agent systems and artificial life," Poznan University of Technology, Poznan, Poland",Depends on module: GPL/LGPL/Propertiary,FramScript (similar to JavaScript),Cross-platform,Email developer; tutorials; manual; FAQ; forums; API; documentation; selected publications; examples,Yes,Yes,2015-07-14
JADE,Distributed applications composed of autonomous entities," Telecom Italia; Torino  ; Parma, Italy",LGPL version 2,Java,Cross-platform,FAQ; mailing list; defect list; tutorials; API; documentation,unk,unk,2017-08-06
MASON," General purpose; social complexity, physical modeling, abstract modeling, AI/machine learning"," George Mason University, Fairfax, Virginia, USA",Academic Free License (open source),Java,Cross-platform,Mailing list; documentation; Tutorials; third party extensions; reference papers; API,Yes,Yes,2019-09-03 (Version 20)
NetLogo,Social and natural sciences; Help beginning users get started authoring models," Northwestern University, Evanston, Illinois, USA",GPL,NetLogo,Cross-platform,Documentation; FAQ; selected references; tutorials; third party extensions; defect list; mailing lists,Yes,Yes,2020-01-06 (Version 6.1.1)
Repast,Social sciences," Argonne National Laboratory, University of Chicago; Lemont, Illinois, USA",BSD," Java (RepastS, RepastJ); Python (RepastPy); Visual Basic, .Net, C++, J#, C# (Repast.net)",Cross-platform,Documentation; mailing list; defect list; reference papers; external tools; tutorials; FAQ; examples,Yes,Yes,2019-09-30
SARL,Distributed applications composed of autonomous entities," * Stéphane Galland, Burgundy Franche-Comté University, France; * Nicolas Gaud, Burgundy Franche-Comté University, France, * Sebastian Rodriguez, Advanced Informatics Technology Research Group, Tucuman, Argentina",Apache version 2," SARL, Java",Cross-platform,FAQ; mailing list; bug tracker; tutorials; API; documentation," yes By using Java extension libraries, e.g. [http://www.arakhne.org/afc AFC]."," yes By using Java extension libraries, e.g. Java 3D.",2019-10-26
Soar,General purpose AI; human performance modeling; learning (including explanation-based learning)," John E. Laird, Clare Bates Congdon, Mazin Assanie, Nate Derbinsky and Joseph Xu; Division of Computer Science and Engineering, University of Michigan, Ann Arbor, Michigan, USA",BSD," Soar 1 to 5 in Lisp; Soar 6 in C; Java, C++, TCL",Cross-platform,Documentation; FAQ; selected publications; defect list; third party extensions; mailing list; contact authors; tutorial; examples; wiki,unk,unk,2017-07-28 (Version 9.6.0)
StarLogo,Social and natural sciences; Educators; for students to model the behavior of decentralized systems; user friendly for K–12 students," Mitchel Resnick, Eric Klopfer, and others at MIT Media Lab and The MIT Scheller Teacher Education Program, Massachusetts Institute of Technology; Cambridge, MA, USA"," Free (closed source) – Clearthought Software License, Version 1.0",StarLogo (an extension of Logo),Cross-platform,Mailing list; tutorials; FAQ; bug list; documentation; developer contacts,unk,unk,2018-11-27
Swarm,General purpose agent based,Swarm Development Group,GPL,Java; Objective-C,Cross-platform,Wiki; tutorials; examples; documentation; FAQ; selected publications; mailing lists,unk,unk,2005
