Single precision,Double precision,Other precision,Processor dependent
Ada,Float,Long_Float,n/a
ALGOL 68,reala68[a],long reala68[a]," short real, long long real, etc.a68g[d]"
C,floatlax floats[b],double,long doubleC-long-double[f]
C++ (STL),,,
Objective-C (Cocoa),,,,CGFloat
C#,float,,n/a
Java,,,
Go,float32,,,float64
Rust,f32,,,f64
Swift,FloatFloat32,DoubleFloat64,Float80Swift-long-double[g],CGFloat
D,float,double,,real
Common Lisp,single-float,double-float," float, short-float, long-float"
Scheme,,,
ISLISP,,,
Pascal (Free Pascal),single,double,,real
Visual Basic,Single,Double,n/a
Visual Basic .NET,,,
Xojo,,,
Python,n/a,float,
JavaScript,,Number,n/a
S-Lang,,,
Fortran,REAL(KIND = n)real inds[c],,
PHP,,float,
Perl,,,
Raku,num32,num64,,Num
Ruby,n/a,Float,n/a
Scala,Float,Double,
Seed7,n/a,float,
Smalltalk,Float,Double,
Windows PowerShell,,
OCaml,n/a,float,n/a
F#,float32,,
Standard ML,n/a,,,real
Haskell (GHC),Float,Double,
Eiffel,REAL_32,REAL_64,
COBOL,FLOAT-BINARY-7Cobol_ieee[e],FLOAT-BINARY-34Cobol_ieee[e]," FLOAT-SHORT, FLOAT-LONG, FLOAT-EXTENDED"
Mathematica,n/a,n/a,,Real
