Format,Languages
string (stringFirst .. stringFirst + n - 1),Ada
" substr(string, 0, n)","Raku"
" LEFT$(string,n)","VB"
" left(string,n)","VB, Ingres, Pick Basic"
" strncpy(string2, string, n)",C standard library
" string.substr(0,n)","Raku"
[string substringToIndex:n],Objective-C (NSString * only)
(apply str (take n string)),Clojure
string[0 .. n],D
" string:substr(string, start, length)",Erlang
(subseq string 0 n),Common Lisp
string[:n],"Cobra, Go, Python"
" left(string,n «,padchar»)","Erlang"
" string[0, n]  string[0..n - 1]",Ruby
" string[1, n]",Pick Basic
string[ .. n],Seed7
" string.Substring(0,n)","VB .NET, C#, F#"
" leftstr(string, n)","Pascal, Delphi)"
"copy (string,1,n)",Turbo Pascal
" string.substring(0,n)","Java, JavaScript "
(string-take string n),Scheme (SRFI 13)
take n string,Haskell
" String.extract (string, n, NONE)",Standard ML
String.sub string 0 n,OCaml
string.[..n],F#
" string.sub(string, 1, n)  (string):sub(1, n)",Lua
string first: n,"Smalltalk (Squeak, Pharo)"
string(:n),Fortran
" StringTake[string, n]",Mathematica
string («FUNCTION» LENGTH(string) - n:n),COBOL
"string.substring(0, n)",Cobra
n↑string.,APL
