,Has member?,,Handler for missing member,
,Method,Field,Method,Field
ABAP Objects,n/a,,,
C++ (STL),
Objective-C (Cocoa),[x respondsToSelector:@selector(method)],n/a,forwardInvocation:,n/a
Smalltalk,x respondsTo: selector,n/a,doesNotUnderstand:,n/a
C#,(using reflection),,,
eC,
Java,
D,,,opDispatch(),
Eiffel,n/a,,,
Python," hasattr(x, "method") and callable(x.method)"," hasattr(x, "field")",__getattr__(),
Visual Basic .NET,(using reflection),,,
Xojo,(using Introspection),,,
Windows PowerShell,(using reflection),,,
F#,(using reflection),,,
Ruby,x.respond_to?(:method),n/a,method_missing(),n/a
PHP," method_exists(x, "method")"," property_exists(x, "field")",__call(),__get() / __set()
Perl,x->can("method"),exists x->{field},AUTOLOAD,
Raku,x.can("method"),x.field.defined,AUTOLOAD,
OCaml,n/a,,,
JavaScript,typeof x.method === "function",field in x,,
COBOL,n/a,,,
