,public,private,protected,friend
ABAP Objects,public section. data field type type.,private section.
C++ (STL),public: type field;,private: type field;,protected: type field;,
C#,public type field «= value»;,private type field «= value»;,protected type field «= value»;,internal type field «= value»;
D,,,,package type field «= value»;
Java,,,protected type field «= value»;,type field «= value»;
eC,public type field;,private type field;
Eiffel,feature field: TYPE,feature {NONE} field: TYPE,feature {current_class}  field: TYPE,feature {FRIEND}  field: TYPE
Objective-C,@public type field;,@private type field;,@protected type field;,@package type field;
Swift,n/a,,,
Smalltalk,n/a,,,n/a
Python,self.field = value,n/a,n/a,
Visual Basic .NET,Public field As type «= value»,Private field As type «= value»,Protected field As type «= value»,Friend field As type «= value»
Xojo,Public field As type «= value»,Private field As type «= value»,Protected field As type «= value»,n/a
PHP,public $field «= value»;,private $field «= value»;,protected $field «= value»;,
Perl,$self->{field} = value;,n/a,,
Raku,has« type »$.field« is rw»,has« type »$!field,n/a,
Ruby,n/a,,@field = value,
Windows PowerShell,Add-Member «-MemberType »NoteProperty «-Name »Bar «-Value »value-InputObject variable,n/a,,
OCaml,n/a,,val «mutable» field = value,n/a
F#,n/a,let «mutable» field = value,n/a,
JavaScript,this.field = value  this["field"] = value,,,
COBOL,n/a,level-number field clauses.,n/a,n/a
Cobra,var field «as type» «= value»,var __field «as type» «= value»,var _field «as type» «= value»,
ISLISP,(field :initform value :accessor accessor-name :initarg keyword),,,
