,current object,current objects parent object,null reference,Current Context of Execution
Smalltalk,self,super,nil,thisContext
ABAP Objects,me,super,initial,
C++ (STL),*this,," NULL, nullptr",
C#,this,base,null,
Java,,super",,
D,,,,
JavaScript,super,
eC,this,,null,
Objective-C,self," super",nil,
Swift,self,super,
Python,self," super(current_class_name, self)super() (3.x only)",None,
Visual Basic .NET,Me,MyBase,Nothing,
Xojo,Me / Self,Parent,Nil,
,Eiffel,Current,Precursor «{superclass}» «(args)»,Void,
PHP,$this," parent",null,
Perl," $self"," $self->SUPER",undef,
Raku,self,SUPER,Nil,
Ruby,self,super«(args)»,nil,binding
Windows PowerShell,$this,,$NULL,
OCaml,self,super,n/a,
F#,this," base",null,
COBOL,SELF,SUPER,NULL,
Cobra,this,base,nil,
