Object orientation,Java,C#
Classes,mandatory,mandatory
Interfaces,yes,yes
Abstract classes,yes,yes
Member accessibility levels," Yes; public, package, protected, private "," Yes; public, internal, protected, private, protected internal"
Class-level inner classes,yes;static inner classes are class level,yes; all inner classes are class level
Instance-level inner classes,yes,no
Statement-level (local) anonymous classes,yes,Yes; but without methods style=background: #8CF;
Partial classes,style=background: #8CF;; Third-party library,yes
Implicit (inferred) anonymous classes,no,yes
Deprecation/obsolescence,yes,yes
Overload versioning,some,yes
Enums can implement interfaces,yes,no
Properties," no, but see JavaBeans spec ",yes
Events,Provided by standard libraries,Built-in language feature
Operator overloading,no,yes
Indexers,no,yes
Implicit conversions,style=background: #8CF;; but see [https://docs.oracle.com/javase/tutorial/java/data/autoboxing.html autoboxing],yes
Explicit conversions,yes,yes
