System," Documentation integration/generation, reporting",Test planning integration,Customizable workflow,Unicode support,Custom fields,SLA,Plugin API,Multiple projects,Full-text search,Indexed full-text search,Indexed file search,Edit conflict warning
Apache Bloodhound," Yes, integrated wiki",Yes,Yes,Yes,Yes,No,Yes,Yes (as of 0.6),Yes,Yes uses Whoosh,No,No
Assembla Tickets," Yes, Wiki syntax, email notification, linking to Subversion commits, document manager, charts, reports, notifications",Yes,Yes,Yes,Yes,No,Yes,Yes,No,unk,No,No
Axosoft," Yes, Team Wiki, Burndown, GitHub and TortoiseSVN integration, dashboards, custom reports for OnPremises, e-mail notifications and alerts, customer portal, RSS",No,Yes,Yes,Yes,Yes,Yes,Yes,,,,No
Bugzilla," Yes, reporting: integrated reports and charts, scheduled reports by mail",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes When using MySQL MyISAM or Oracle Database but not PostgreSQL,,Yes
Debbugs,No,No,No,Yes,No,No,No,unk,,,No,No
Faveo Helpdesk," Yes, Integrated Social Media, In-built Knowledge Base and Reporting",No,Yes,Yes,Yes,Yes,Yes,NA,Yes,No,No,No
FogBugz," Yes, Integrated wiki",No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
Fossil," Yes, Integrated Wiki in addition to integrated versioned project documentation via web ui.",No,No,No,Yes,No,No,Yes,No,No,,No
FusionForge," Yes, integrated Mediawiki, discussion forums, news blogs, email integration, export to CSV, reporting graphs",No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,No
GLPI," Yes, Contains a proprietary knowledge base of sorts",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
GNATS,No,No,No,No,No,No,No,unk,,,,No
HP Quality Center,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
IBM Rational ClearQuest," Yes, reporting: integrated charts and interface to Crystal Reports",Yes,Yes,Yes,Yes,No,Yes,Yes,optional,optional uses Solr and Lucene,,No
IBM Rational Team Concert,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,No
