Application and developer,Latest version/release + date,Schematic?,Simulation?,PCB editing?,Runs on POSIX style systems?,Runs on Windows?,Other platforms?,Open  source?,User Interface Language(s),Imports,Exports,Scripting support
Active-HDL by Aldec,10.32016316p=1br=1df=yes,yes,yes,no,no,yes,no,No,en," EDIF, Viewlogic, more"," PDF, HTML, Verilog, VHDL, EDIF, Zuken, more"
Advanced Design System by Keysight EEsof EDA,201920181115p=1br=1df=yes,yes,yes,yes,yes,yes," SuSE, RHEL",No,en," HSPICE, SPICE, Spectre netlists; Gerber, Excellon, ODB++, artwork; more"," HSPICE, SPICE, Spectre netlists; Gerber, Excellon, ODB++, artwork; more"," Python, Application Extension Language (proprietary; ""AEL"")"
Altium Designer (former Protel) by Altium,20.0.1120200128p=1br=1df=yes,yes,yes,yes,no,yes,Wine,No,Multilingual," OrCAD, Allegro, PADS Logic, PADS PCB, Expedition, DxDesigner, EAGLE, Gerber, STEP, Solidworks, IDF, more"," 3D PDF, Gerber, Gerber X2, Excellon, ODB++, DXF, STEP, OrCAD, EAGLE, more"," Delphi, JS, VB"
" CADSTAR, Board Designer, and Visula by Zuken",2019.0.0.120191118p=1br=1df=yes,yes," yes, SI  ; PI",yes,no,yes,no,No,en," PADS, OrCAD, P-CAD, Protel, DXF, IDF"," PDF, Gerber, Excellon, ODB++, DXF, IDF more"," COM, macros"
CircuitLogix by Logic Design Inc.,Release 10201901,p=1br=1df=yes,yes,yes,yes,no,yes,no,No,en," SPICE, Gerber, DXF"," SPICE, PDF, Gerber, DXF",
CircuitMaker by Altium,1.3.0.119201608,p=1br=1df=yes,yes,no,yes,no,yes,Wine,No,en," AD09, AD10, AD12, PADS, P-CAD, OrCAD, Protel, EAGLE, DXF"," Gerber, Excellon, DXF, STEP, more",
CR-5000 by Zuken,1320110517p=1br=1df=yes,yes," yes, SI  ; PI",yes,yes,yes," Unix, Linux",No," en, jp"," EDIF, DXF, IGES, IDF, BSDL, STEP, ACIS, Gerber, Excellon, more"," PDF, Gerber, Excellon, ODB++ (must request), DXF, STEP, IPC D-356, IPC-2581, EPS, ACIS",
CR-8000 by Zuken,202020200630p=1br=1df=yes,yes," yes, SI  ; PI, IBIS-AMI/SERDES",yes,yes,yes," Unix, Linux",No," en, jp"," EDIF, DXF, IGES, IDF, BSDL, STEP, ACIS, Gerber, Excellon, more"," PDF, Gerber, Excellon, ODB++ (must request), DXF, STEP, IPC D-356, IPC-2581, EPS, ACIS",
DesignSpark PCB by RS Components,9.0.320200708p=1br=1df=yes,yes," Yes, Spice",yes,no,yes,no,No,en," EAGLE, DXF, EDIF"," Gerber, Excellon, ODB++, DXF, IDF, PDF, LPKF",
DesignSpark PCB Pro by RS Components,9.0.320200708p=1br=1df=yes,yes," Yes, Spice",yes,no,yes,no,No,en," EAGLE, OrCAD, Easy-PC, NI Ultiboard, BoardMaker, DXF, PNL, EDIF"," Gerber, Excellon, ODB++, DXF, IDF, PDF, LPKF",
DipTrace by Novarm,3.3.1.020181129p=1br=1df=yes,yes,External(Spice netlist export),yes,Yes,yes," Mac, Wine",No,21 languages," EAGLE, Altium, P-CAD, PADS, OrCAD, Gerber, N/C Drill, DXF, BSDL Pinlist, Netlists"," Gerber, Gerber X2, Excellon, ODB++, DXF, P-CAD, PADS, OrCAD, IPC-D-356, STEP, VRML, Pick and Place, CSV, BOM ",
EAGLE by Autodesk/CadSoft Computer,9.6.22020527br=1p=1df=yes,yes,Ngspice,yes,yes,yes,Mac,No," de, en, zh, hu, ru"," EAGLE (XML), ACCEL (P-CAD, Altium, Protel), ULTIBOARD, Netlists, BMP, Custom"," EAGLE (XML), Protel, Netlists, Images, Gerber, Gerber X2, Excellon, Sieb  ; Meyer, HPGL, PostScript/EPS, PDF, Images, HyperLynx, IDF, Custom",Proprietary User Language Programming (ULP)
EasyEDA,6.4.520200819br=1p=1df=yes,yes,Ngspice,yes,yes,yes,"  Mac, and Chrome OS as a Web application",No," en, fr, de, pl, jp, ru, es, se, ua, zh ..."," Altium, EAGLE, KiCad libraries, LTspice .asc/.asy files, JSON, Spice"," PDF, PNG, SVG, JSON, Gerber, Excellon, Pick and Place CSV file, CSV-formatted drill chart, Bill of Materials CSV file, Altium netlist, FreePCB netlist, PADS Layout Netlist, Spice netlist.",JSON
Fritzing,0.9.3b20160603p=1br=1df=yes," yes, + breadboard",no,yes,yes,yes,Mac,yes," en, de, nl, es, it, fr, pt, ru, zh, jp, ..."," gEDA symbols, KiCad symbols, SVG"," Gerber, DIY etching, BOM, SVG, PDF, EPS",
