Mail server,SMTP AUTH,POP before SMTP,APOP,File System,Database,LDAP,Native Anti Hammer - Brute-force attack protection,Other
agorum core,yes,no,no,no,yes,yes,dunno," PLAIN, LOGIN, CRAM-MD5, NTLM"
Apache James,yes,dunno,dunno,dunno,yes,yes,dunno," PLAIN, LOGIN"
Axigen,yes,no,yes,yes,no,yes,no," GSSAPI, CRAM-MD5, APOP, CLRTXT, LOGIN, PLAIN, LDAP, Internal"
CommuniGate Pro,yes,yes,yes,yes,yes,yes,dunno," Active Directory (LDAP), CLRTXT, CRAM-MD5, DIGEST-MD5, APOP, GSSAPI, NTLM, MSN, SESSIONID, External Authentication Plug-in. Also supports X.509 PKI auth via STARTTLS/SSL"
Courier Mail Server,yes,yes,yes,yes,yes,yes,dunno," Managed by [http://www.courier-mta.org/authlib/ Courier authentication library] which can use PAM, Userdb, PostgreSQL(beta), MySQL, LDAP, and EXTERNAL."
Cyrus IMAP,yes,yes,yes,yes,yes,yes,dunno," Supports PAM, DCE, Kerberos 4 and 5, proxied IMAP auth, getpwent, shadow, SIA, Courier Authdaemon, httpform, APOP and SASL mechanisms: ANONYMOUS, SCRAM-SHA-1(-PLUS), SCRAM-SHA-224(-PLUS), SCRAM-SHA-256(-PLUS), SCRAM-SHA-384(-PLUS), SCRAM-SHA-512(-PLUS), EXTERNAL, GSSAPI, LOGIN, NTLM, OTP, PASSDSS, PLAIN, SRP"
Dovecot,yes,yes,yes,yes,yes,yes,dunno," Submission service supports SMTP AUTH POP-before-SMTP via DRAC plugin. PAM, Kerberos 5, proxied IMAP auth, getpwent, shadow, SIA, BSDauth, SCRAM-SHA-1, EXTERNAL, GSSAPI, NTLM, OTP, SKEY, RPA."
Eudora Internet Mail Server,yes,no,yes,yes,no,no,yes," CRAM-MD5, DIGEST-MD5, PLAIN, LOGIN"
Exim,yes,yes,yes,yes,yes,yes,dunno," Cyrus SASL, Dovecot SASL, GNU SASL, CRAM-MD5, Heimdal GSSAPI, PLAIN, LOGIN, SPA"
FirstClass,yes,dunno,dunno,yes,yes,yes,dunno,
Gordano Messaging Suite,yes,yes,yes,no,yes,yes,dunno," PLAIN, LOGIN, CRAM-MD5, DIGEST-MD5, APOP, ODBC, Active Directory, NT Domain "
GroupWise,yes,yes,yes,yes,yes,yes,dunno," eDirectory, Any LDAPv3-compliant source"
Halon,yes,no,no,yes,yes,yes,dunno," Many mechanism (SMTP callout, Dovecot SASL, REST, etc.) via script."
Haraka,yes,no,no,yes,yes,yes,dunno," Proxy to other server, any other mechanism via AUTH plugins."
IceWarp Mail Server,yes,yes,yes,yes,yes,yes,dunno," PLAIN, LOGIN, CRAM-MD5, NTLM"
Ipswitch IMail Server,yes,no,yes,yes,yes,yes,yes," Active Directory, Windows authentication, CRAM-MD5, PLAIN, LOGIN"
Kolab,yes,yes,yes,yes,yes,yes,dunno,Kolab employs Cyrus and Postfix and thus supports all Cyrus SASL authentication methods and X.509 PKI auth via STARTTLS and EXTERNAL.
Mailsite,yes,no,yes,yes,yes,yes,dunno," NT Domain, Active Directory, PLAIN, LOGIN, NTLM, SCRAM-MD5, CRAM-MD5"
Mailtraq,yes,yes,yes,yes,yes,yes,dunno," NT Domain, Active Directory, Local Directory"
MDaemon,yes,no,yes,no,no,yes,yes,
Mercury Mail Transport System,yes,yes,yes,yes,no,dunno,dunno," Internal, LOGIN, PLAIN, CRAM-MD5, Netware, LDAP?, partial NT Domain"
Microsoft Exchange Server,yes,dunno,yes,no,no,yes,yes," Active Directory, LOGIN, NTLM"
NetMail,yes,yes,yes,yes,yes,yes,dunno," eDirectory, LDAP"
Oracle Communications Messaging Server,yes,yes,yes,yes,yes,yes,dunno," Plain, Login, CRAM-MD5, DIGEST-MD5, Certificate"
OpenSMTPD,yes,no,no,yes,yes,yes,dunno," By default PLAIN and LOGIN over SSL only, Certificates, bsd_auth and PAM. Supports adding new authentication mechanisms through custom backends."
Postfix,yes,no,no,yes,yes,yes,Yes,Supports all Cyrus SASL authentication methods except for APOP.
Qpopper,no,yes,yes,yes,yes,yes,dunno," Pluggable Authentication Modules, GSSAPI, CRAM-MD5, DIGEST-MD5, APOP, PLAIN, LDAP, [https://web.archive.org/web/20110303094032/http://asg.web.cmu.edu/sasl/ CMU SASL library], Kerberos"
qmail,with patch,with vpopmail,yes,yes,yes,yes,dunno," Works with any checkpassword utility. The original supports only LOGIN and PLAIN. Alternate checkpassword utilities support authentication against PAM, LDAP, and databases."
Scalix,yes,dunno,yes,yes,yes,yes,dunno," Internal, LOGIN, PLAIN, DAP), Kerberos, etc."
Sendmail,yes,yes,no,yes,yes,yes,dunno,Supports all Cyrus SASL authentication methods except for APOP. Also supports X.509 PKI auth via STARTTLS and EXTERNAL.
WinGate,yes,yes,yes,yes,yes,no,dunno," NT Domain, Active Directory, CRAM-MD5, SASL PLAIN, SASL LOGIN"
Zarafa,yes,no,no,yes,yes,yes,dunno," PLAIN, LOGIN using internal backends: Internal, Active Directory, any LDAP-compatible source, Unix"
Zentyal,yes,yes,yes,yes,yes,yes,dunno,Active Directory using Dovecot SASL mechanisms
Zimbra,yes,no,yes,yes,yes,yes,dunno," Internal, LDAP, Open LDAP, Active Directory"
Mail server,SMTP AUTH,POP before SMTP,APOP,File System,Database,LDAP,Native Anti Hammer - Brute-force attack protection,Other
