Name,Computer architectures supported,File systems supported,Kernel type,Source lines of code,GUI default is on,Package management,Update management,Native APIs,Non-native APIs supported through subsystems
AIX," POWER, PowerPC-AS, PowerPC, Power ISA"," JFS, JFS2, UDF, NFS, SMBFS, GPFS",Monolithic with modules,,No," installp, RPM",Service Update Management Assistant (SUMA),SysV/POSIX,
AmigaOS Classic," 68k, PowerPC"," Proprietary (OFS, FFS, SFS, PFS), FAT, ISO 9660, UDF, many others via 3rd party drivers, such as SMBFS, etc.",Microkernel,,Yes,Installer (almost not needed),,Proprietary,BSD subset (available through 3rd party ixemul.library)
AmigaOS 4,PowerPC," Proprietary (OFS, FFS, SFS, PFS), JXFS, FAT, ISO 9660, UDF, many others via 3rd party drivers, such as SMBFS, etc.",Microkernel,,Yes,Installer (almost not needed),[http://www.amiupdate.net/ AmiUpdate] (almost not needed),Proprietary,BSD subset (available through 3rd party ixemul.library)
Chrome OS," ARM, IA-32, x86-64"," FAT, MTP (read and write), UDF (read-only)",Monolithic with modules,≈17 million,Yes,Portage,,Linux/POSIX,
DragonFly BSD,x86-64," UFS1, MFS, FAT (16/32), HAMMER, ISO 9660",Hybrid,,No," dports, pkg"," git, cvsup, rsync, pkg",BSD/POSIX," Mono, Java, Win16, Win32, Linux"
eComStation,IA-32," HPFS (default), FAT, JFS, UDF, FAT32, NTFS (read only)",Hybrid,,Yes," WarpIN, Feature Install, others",Maintenance Tool," Proprietary, DOS API, Win16"," POSIX, Java, others"
FreeBSD," ARM, MIPS, PowerPC, [http://www.freebsd.org/doc/en_US.ISO8859-1/articles/committers-guide/archs.html others] "," UFS2, FAT, NFS, others",Monolithic with modules,6.25 million,No," Ports collection, packages"," by source, network binary update (freebsdupdate)",BSD/POSIX," Mono, Java, Win16, Win32, Linux"
Genode," ARM, RISC-V, IA-32, x86-64"," ext2, ext3, FAT32, ISO9660",Microkernel or Monolithic kernel," ≈300,000 date=May 2018",No,Custom,None,Genode," POSIX, Qt, SDL, MirageOS"
GhostBSD," IA-32, x86-64"," UFS2, ext2, ext3, FAT, ISO 9660, UDF, NFS, ReiserFS (read only), XFS (experimental), ZFS, others",Monolithic with modules,,Yes," Ports collection, packages"," by source, network binary update (freebsdupdate)",BSD/POSIX," Mono, Java, Win16, Win32, Linux"
Linux," IA-32, x86-64, ARM, PowerPC, SPARC, others"," ext2, ext3, ext4, btrfs, ReiserFS, FAT, ISO 9660, UDF, NFS, and others",Monolithic with modules,≈15 million (kernel) lines of code for userland libraries and applications vary depending on the distribution,Yes,Depends on the distribution,,Linux/POSIX," Mono, Java, Win16, Win32"
Haiku," IA-32, PowerPC, x86-64"," BFS (default), FAT, ISO 9660, ext3, NTFS",Hybrid,≈5.2 milliondate=January 2015,Yes,Ports collection (haikuport)," pkgman, HaikuDepot"," POSIX, BeOS API"," Java, Qt"
HP-UX," PA-RISC, IA-64"," HFS, CDFS, EVFS, NFS, CIFS",Monolithic with modules,,No," SD, swinstall",swa (HP-UX Software Assistant),SysV/POSIX,
Inferno," IA-32, PowerPC, SPARC, Alpha, MIPS, others"," Styx/9P2000, kfs, FAT, ISO 9660"," Monolithic with modules, user space file systems",,Yes,dunno,dunno,Proprietary,
