File system,Stores file owner,POSIX file permissions,Creation timestamps,Last access/ read timestamps,Last metadata change timestamps,Last archive timestamps,Access control lists,Security/ MAC labels,Alternate data streams/ forks,Checksum/ ECC
BeeGFS,yes,yes,no,yes,yes,no,yes,dunno,yes,yes
CP/M file system,no,no,Implemented in later versions as an extension,no,no,no,no,no,no,no
DECtape,no,no,yes,no,no,no,no,no,no,no
Elektronika BK tape format,no,no,no,no,no,no,no,no,no,yes
Level-D,yes,yes,yes,yes (date only),yes,yes,yes (FILDAE),no,no,no
RT-11,no,no,yes (date only),no,no,no,no,no,no,yes
Version 6 Unix file system (V6FS),yes,yes,no,yes,no,no,no,no,no,no
Version 7 Unix file system (V7FS),yes,yes,no,yes,no,no,no,no,no,no
exFAT,no,no,yes,yes,no,no,no,no,no,no
FAT12/FAT16/FAT32,no,no,yes,yes," name=fat-ctime Some FAT implementations, such as in Linux, show file modification timestamp (mtime) in the metadata change timestamp (ctime) field. This timestamp is however, not updated on file metadata change.",no,no,no," name=note-22 Particular Installable File System drivers and operating systems may not support extended attributes on FAT12 and FAT16. The OS/2 and Windows NT filesystem drivers for FAT12 and FAT16 support extended attributes (using a ""EA DATA. SF"" pseudo-file to reserve the clusters allocated to them). Other filesystem drivers for other operating systems do not.",no
HPFS," name=note-14 The f-node contains a field for a user identifier. This is not used except by OS/2 Warp Server, however.",no,yes,yes,no,no,no,dunno,yes,no
NTFS,yes," name=note-5 NTFS access control lists can express any access policy possible using simple POSIX file permissions (and far more), but use of a POSIX-like interface is not supported without an add-on such as Services for UNIX or Cygwin.",yes,yes,yes,no,yes," As of Vista, NTFS has support for Mandatory Labels, which are used to enforce Mandatory Integrity Control.",yes,Windows can run the checksum to even restore data or fix a corrupt file on hdd and also repair any bad sectors if any. Windows Error Checking tool can do most of these tasks as on from Windows 7 onwards.
ReFS,yes,yes,yes,yes,yes,no,yes,dunno," Initially, ReFS lacked support for ADS, but Server 2012 R2 and up add support for ADS on ReFS",Data checksums not enabled by default
HFS,no,no,yes,no,no,yes,no,no,yes,no
HFS Plus,yes,yes,yes,yes,yes,yes,yes,dunno,yes,no
FFS,yes,yes,no,yes,yes,no,no,no,no,no
UFS1,yes,yes,no,yes,yes,no,name=note-33 Access-control lists and MAC labels are layered on top of extended attributes.,name=note-33," name=note-32 Some operating systems implemented extended attributes as a layer over UFS1 with a parallel backing file (e.g., FreeBSD 4.x).",no
UFS2,yes,yes,yes,yes,yes,no,name=note-33,name=note-33,yes,partial
HAMMER,yes,yes,yes,yes,yes,dunno,yes,yes,no,yes
LFS,yes,yes,no,yes,yes,no,no,no,no,no
ext,yes,yes,no,no,no,no,no,no,no,no
Xiafs,yes,yes,no,yes,yes,no,no,no,no,no
ext2,yes,yes,no,yes,yes,no,name=note-23 Some patch.,name=note-23,yes,no
ext3,yes,yes,no,yes,yes,no,name=note-23,name=note-23,yes,no
ext4,yes,yes,yes,yes,yes,no,name=note-23,name=note-23,yes,Journal and metadata only
NOVA,yes,yes,yes,yes,yes,no,no,no,no,yes
Lustre,yes,yes,no,yes,yes,no,yes,yes,yes,no
F2FS,yes,yes,yes,yes,yes,no,name=note-23,name=note-23,yes,no
GPFS,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
GFS,yes,yes,no,yes,yes,no,name=note-23,name=note-23,yes,no
NILFS,yes,yes,yes,no,yes,no,no,no,no,yes
ReiserFS,yes,yes,no,yes,yes,no,name=note-23,name=note-23,yes,no
Reiser4,yes,yes,no,yes,yes,no,no,no,no,no
OCFS,no,yes,no,no,yes,yes,no,no,no,no
OCFS2,yes,yes,no,yes,yes,no,no,no,no,no
XFS,yes,yes," name=note-35 Creation time stored since June 2015, xfsprogs version 3.2.3",yes,yes,no,yes,name=note-23,yes," name=note-34 Metadata checksums stored since June 2015, xfsprogs version 3.2.3"
JFS,yes,yes,yes,yes,yes,no,yes,yes,yes,no
QFS,yes,yes,yes,yes,yes,yes,yes,no,yes,no
BFS,yes,yes,yes,no,no,no,no,no,yes,no
AdvFS,yes,yes,no,yes,yes,no,yes,no,yes,no
