Firewall,License,Cost and usage limits,OS
Avast Internet Security,Proprietary,Paid,Microsoft Windows
Comodo InternetSecurity,Proprietary,Free," Windows 10/8.1/8/7/Vista x86/x64, XP x86"
Intego VirusBarrier,Proprietary,Paid,10.5 or later; on an Xserve
KasperskyInternet Security,Proprietary,Paid / 30 day trial,Windows unknown versions x86/x64
LavasoftPersonal Firewall,Proprietary,Paid,Windows unknown versions x86/x64
MicrosoftForefront ThreatManagementGateway,Proprietary,Discontinued,Windows unknown versions x64
NetLimiter,Proprietary,Paid," Windows 10, 8, 7 x64"
Norton 360,Proprietary,Paid,Windows unknown versions x86/x64
Online ArmorPersonal Firewall,Proprietary,Discontinued,Windows unknown versions x86/x64
OutpostFirewall Pro,Proprietary,Discontinued," Windows 10, 8, 7, Vista, XP x86/x64"
PC ToolsFirewall Plus,Proprietary,Discontinued,Windows unknown versions x86/x64
SygatePersonal Firewall,Proprietary,Discontinued,Windows unknown versions x86
Windows Firewall,Proprietary,Included with WindowsXP SP2 and later,Windows versions x86/x64
ZoneAlarm,Proprietary,Free / Paid," Windows 10/8.1/8/7/Vista x86/x64, XP x86"
Netfilter/iptables,GPL,Free,Linux kernel module
nftables,GPL,Free,Linux kernel (>=3.13) module
Shorewall,GPL,Free,Linux-based appliance
PeerBlock,GPL,Free," Windows 8/8.1, 7, Vista x86/x64"
NPF,BSD,Free,NetBSD kernel module
PF,BSD,Free,*BSD kernel module
ipfirewall,BSD,Free,*BSD package
IPFilter,GPLv2,Free,Package for multiple UNIX-like operating systems
