[ Blacklist operator
, DNS blacklist
, Zone
, Listing goal
, Nomination
, Listing lifetime
, Notes
, Collateral listings
, Notifies upon listing
],
![https://docs.abusix.ai/en/articles/3204475-combined combined],|combined.mail.abusix.zone,|Aggregate zone,|Aggregate zone,|Aggregate Zone,|Single lookup that contains results from black exploit and policy lists.,|{{no}},|{{no}},
|black.mail.abusix.zone,|Lists individual IP addresses that have sent mail to spam traps. And some manual added netblocks.,|Mostly Automatic with some manual additions.,|For automated listings 5.6 days after last event manual additions are permanent.,|,|{{no}},|{{rarely|No (but planned)}},
|exploit.mail.abusix.zone,|Lists IP addresses behaving in a way that indicates the IP is compromised infected proxy VPN TOR malware,|Automatic,|5.6 days after last event,|,|{{no}},|{{rarely|No (but planned)}},
|dynamic.mail.abusix.zone,|Lists IP addresses that should not be connecting directly to MX such as residential IPs etc.,|Automatic,|Permanent (until delist requested),|Lists ranges that have generic or templated rDNS. Individual IPs can be delisted immediately via web.,|{{no}},|{{no}},
|dblack.mail.abusix.zone,|Lists domains seen in spam hitting traps.,|Automatic,|5.6 days after last event,|Can be used as an RHSBL and a URIBL.,|{{no}},|{{rarely|No (but planned)}},
|nod.mail.abusix.zone,|Lists domains that are newly observed (first use),|Automatic,|25 hours,|Based on historical passive DNS data lists domains first seen in the wild within the last 25 hours).,|{{no}},|{{no}},
|shorthash.mail.abusix.zone,|Lists short URLs (SHA-1 hashed) seen in traps.,|Automatic,|5.6 days after last event,|Created to handle popular shorteners that are misused to hide domains from blacklisting.,|{{no}},|{{no}},
|drivehash.mail.abusix.zone,|Lists URLs of online drive services (SHA-1 hashed) seen in traps.,|Automatic,|5.6 days after last event,|Current only listing Google Drive and Yandex Disk URLs that are used to avoid domain blacklisting.,|{{no}},|{{no}},
! [http://www.gbudb.com/truncate/ Truncate],| truncate.gbudb.net,| Extremely conservative list of single IP4 addresses that produce exclusively spam/malware as indicated by the GBUdb IP Reputation system. Most systems should be able to safely reject connections based on this list.,| Automatic: IPs are added when the GBUdb "cloud" statistics reach a probability figure that indicates 95% of messages produce a spam/malware pattern match and a confidence figure that indicates sufficient data to trust the probability data.,| Automatic: Continuous while reputation statistics remain bad. Warning: Produces false positives and has no remedy/removal process. IPs are dropped quickly if the statistics improve (within an hour). IPs are dropped within 36 hours (typ) if no more messages are seen (dead zombie).,| Source data is derived from a global network of Message Sniffer filtering nodes in real-time. Truncate data is updated from statistics every 10 minutes. ,Warning: Unreliable as it produces false positives. It is impossible to find additional information or to manually troubleshoot the problem. It is based on results created by their proprietary software running a proprietary algorithm. ,| {{no}},| {{no}},
! [https://web.archive.org/web/20081207064801/http://dnsbl.invaluement.com/ivmsip/ ivmSIP],| {{n/a|Paid access via rsync}},| Single IP addresses which only send UBE. Specializing in snowshoe spam and other 'under the radar' spams which evade many other DNSBLs. Has FP-level comparable to Zen.,| Automatic (upon receipt of a spam to a real person's mailbox) with extensive whitelists and filtering to prevent false positives,| Typically an automatic expiration 11 days after the last abuse was seen but with some exceptions,| Spam samples are always kept on file for each listing. Removal requests are manually reviewed and processed without fees.,| {{no}},| {{no}},
| {{n/a|Paid access via rsync}},| Lists /24 blocks of IP addresses which usually only send UBE and containing at least several addresses which are confirmed emitters of junk mail. Collateral listings are kept to a minimum because subsections are often carved from /24 listings when spammers and legit senders share the same /24 block.,| Automatic once at least several IP addresses from a given block are individually listed on ivmSIP with extensive whitelists and filtering to prevent false positives,| Expiration time increases to many weeks as the fraction of IP addresses in the /24 block in question sending junk mail increases,| Removal requests are quickly and manually reviewed and processed without fees.,| {{yes}},| {{no}},
| {{n/a|Paid access via rsync}},| Comparable to uribl.com and surbl.org this is a list of IP addresses and domains which are used by spammers in the clickable links found in the body of spam messages,| Automatic (upon receipt of a spam to a real person's mailbox) with extensive whitelists and filtering to prevent false positives,| Typically an automatic expiration several weeks after the last abuse was seen.,| Spam samples are always kept on file for each listing. Removal requests are quickly and manually reviewed and processed without fees.,| {{no}},| {{no}},
! [http://www.uceprotect.net/en/index.php?m=3;s=3 UCEPROTECT Level 1],| dnsbl-1.uceprotect.netbr /(also free available via rsync ),| Single IP addresses that send mail to [[spamtrap]]s,| Automatic by a cluster of more than 60 trapservers ,| Automatic expiration 7 days after the last abuse was seen optionally express delisting for a small fee.,| UCEPROTECT's primary and the only independent list,| {{no}},| {{no}},
| dnsbl-2.uceprotect.netbr /(also free available via rsync ref name="uceprotect1"/),| Allocations with exceeded UCEPROTECT Level 1 listings,| Automatic calculated from UCEPROTECT-Level 1,| Automatic removal as soon as Level 1 listings decrease below Level 2 listing border optionally express delisting (for a fee),| Fully depending on Level 1,| {{yes}},| {{no}},
| dnsbl-3.uceprotect.netbr /(also free available via rsync ref name="uceprotect1"/),| ASN's with excessive UCEPROTECT Level 1 listings,| Automatic calculated from UCEPROTECT-Level 1,| Automatic removal as soon as Level 1 listings decrease below Level 3 listing border optionally express delisting (fee),| Fully depending on Level 1,| {{yes}},| {{no}},
! [http://www.sorbs.net/ dnsbl],| dnsbl.sorbs.net,| Unsolicited bulk/commercial email senders,| N/A (See individual zones),| N/A (See individual zones),| Aggregate zone (all aggregates and what they include are listed on [[Spam and Open Relay Blocking System|SORBS]]),| {{n/a|As per component list}},| {{yes|Via SORBS Report Manager}},
| safe.dnsbl.sorbs.net,| Unsolicited bulk/commercial email senders,| N/A (See individual zones),| N/A (See individual zones),| "Safe" Aggregate zone (all zones in dnsbl.sorbs.net except "recent" "old" "spam" and "escalations"),| {{no}},| {{yes|Via SORBS Report Manager}},
| http.dnsbl.sorbs.net,| Open [[HTTP]] proxy servers,| Feeder servers,| Until delisting requested.,|,| {{no}},| {{yes|Via SORBS Report Manager}},
| socks.dnsbl.sorbs.net,| Open [[SOCKS]] proxy servers,| Feeder servers,| Until delisting requested.,|,| {{no}},| {{yes|Via SORBS Report Manager}},
| misc.dnsbl.sorbs.net,| Additional proxy servers,| Feeder servers,| Until delisting requested.,| Those not already listed in the HTTP or SOCKS databases,| {{no}},| {{yes|Via SORBS Report Manager}},
| smtp.dnsbl.sorbs.net,| Open [[SMTP]] relay servers,| Feeder servers,| Until delisting requested.,|,| {{no}},| {{yes|Via SORBS Report Manager}},
| web.dnsbl.sorbs.net,| IP addresses with vulnerabilities that are exploitable by spammers (e.g. [[FormMail]] scripts),| Feeder servers,| Until delisting requested or Automated Expiry,|,| {{no}},| {{yes|Via SORBS Report Manager}},
| new.spam.dnsbl.sorbs.net,| Hosts that have sent spam to the admins of SORBS or SORBS Spamtraps in the last 48 hours,| SORBS Admin and Spamtrap,| Renewed every 20 minutes based inclusion in on 'spam.dnsbl.sorbs.net',|,| {{no}},| {{yes|Via SORBS Report Manager}},
| recent.spam.dnsbl.sorbs.net,| Hosts that have sent spam to the admins of SORBS or SORBS Spamtraps in the last 28 days,| SORBS Admin and Spamtrap,| Renewed every 20 minutes based inclusion in on 'spam.dnsbl.sorbs.net',|,| {{no}},| {{yes|Via SORBS Report Manager}},
| old.spam.dnsbl.sorbs.net,| Hosts that have sent spam to the admins of SORBS or SORBS Spamtraps in the last year,| SORBS Admin and Spamtrap,| Renewed every 20 minutes based inclusion in on 'spam.dnsbl.sorbs.net',|,| {{no}},| {{yes|Via SORBS Report Manager}},
| spam.dnsbl.sorbs.net,| Hosts that have allegedly sent spam to the admins of SORBS or SORBS Spamtraps at any time,| SORBS Admin and Spamtrap.,| Until delisting requested.,|,| {{no}},| {{yes|Via SORBS Report Manager}},
| escalations.dnsbl.sorbs.net,| Netblocks of service providers believed to support spammers,| SORBS Admin fed.,| Until delisting requested and matter resolved.,| Service providers are added on receipt of a 'third strike' spam,| {{yes}},| {{yes|Via SORBS Report Manager}},
| block.dnsbl.sorbs.net,| Hosts demanding that they never be tested,| Request by host,| N/A,|,| {{no}},| {{yes|Via SORBS Report Manager}},
