Software Name,Developer,First public release,Predecessor,Latest Stable version / (Date),Operating system,Price in USD,License," Microsoft Office (.doc, .xls) support",Microsoft Office Open XML support,OpenDocument support,Portable Document Format support
Ability Office,Ability Plus Software,1995,—,6.00,Windows,49.99 - 59.99,proprietary,yes,yes,Planned for a future version,yes2 Export
Apache OpenOffice,Apache Software Foundation,2012 May," OpenOffice.org, StarOffice",Latest stable software release/Apache OpenOffice," Windows, Mac OS, Solaris/Illumos",free,Apache License 2.0,yes,yes2 Import-only,Native format,Export and Import with free plugin
Breadbox Office,Breadbox Computer Company,1990,—,4.1.3.0,Windows,99.95,proprietary,no,no,no,no
Calligra Suite,KDE,2011,KOffice,Latest stable software release/Calligra Suite," Windows, Mac OS, Solaris/Illumos",free,GNU LGPL and GNU GPL,yes2 Import,yes2 Import,Native format,yes2 Export
Feng Office Community Edition,Feng Office,2007,—,1.6.1,Fully online,free,GNU AGPL,no,no,no,no
GobeProductive,Gobe Software,1998,—,3.04 / 2.01," Windows, BeOS",49.95,proprietary,yes,no,no,no
G Suite (formerly Google Apps for Work),Google,2006,Writely,2014,Fully online,"  60.00 per account per year (free trial 30 days); free for some versions (education, non-profit)",proprietary,yes,yes,yes,yes
Google Docs,Google,2006,Writely,2014,Fully online,free,proprietary,yes,yes,yes,yes
iWork,Apple Inc.,2005,AppleWorks,Pages 8.0 / Numbers 6.0 / Keynote 9.0.1 (20181112)," Mac OS, iOS, online",free,proprietary,yes,yes2 Import,no,yes2 Export
LibreOffice,The Document Foundation formerly Sun Microsystems and Go-oo,2010 September," OpenOffice.org, Go-oo StarOffice",Latest stable software release/LibreOffice," Windows, Mac OS, Solaris/Illumos",free,GNU LGPL,yes,yes,Native format,yes
Lotus SmartSuite,IBM,1992,—,9.8," Windows, OS/2",313.00,proprietary,yes,no,no,no
MarinerPak,Mariner Software,1996,—,10.0," Classic Mac OS, Mac OS X",79.95,proprietary,yes2 Import,no,no,no
Microsoft Office,Microsoft," 1990 (Macintosh), 1992 (Windows)",Microsoft WordMicrosoft ExcelMicrosoft PowerPoint," 2019 (16.0) (Windows),2019 (16.39) (Mac OS)"," Windows, Mac OS",89.95 - 679.95,proprietary,yes,yes,Windows and Office 365versions only,yes
Microsoft Works (Discontinued in 2009),Microsoft,1986,—,Discontinued," Windows, Macintosh",Discontinued,proprietary,yes,yes,no,no
MobiSystems OfficeSuite,MobiSystems,2004,—,Android version: 10.1.16353 iOS version: 6.6 Windows version: 2.95.18960.0,"Android, iOS, Windows",Free version with ads and limited support; €29.99/year for all platforms,proprietary,yes,yes,yes,yes
NeoOffice,Planamesa Software,2005-06-02,based on OpenOffice.org re-coded for Mac OS,3.2,Mac OS," $10/yr, $29.99 Mac App Store (free old versions)",GNU GPL,yes,yes,yes,Import with free plugin
StarOffice a.k.a. Oracle Open Office,Oracle for 1 year,1995,StarWriter,9.0," Windows, Mac OS, Solaris/Illumos",34.95,proprietary,yes,yes2 With free plugins,Native format,Import with free plugin
SoftMaker Office,SoftMaker," 1987 (for DOS), 1994 (for Windows)",—," 2016 (Windows: 20150519df=yes, 20151209df=yes), Office HD for Android: 20141124df=yes, Office Mobile for Android: 20120831df=yes, 2010 (Windows Mobile, Windows CE), 2006 (Handheld PC)"," Windows, Android, Windows Mobile, Windows CE, Pocket PC)"," Version-dependent, e.g. SM Office 2012 99.95 (19.95 Acad.); free for FreeOffice; SM Office 2016 is free for educational institutions",proprietary,yes,yes," partial, only ODT export, no Import",yes2 Export
OnlyOffice,Ascensio Systems,2010,—,—,Fully online," Free for non-commercial use, 75-7,200 per year for commercial use",GNU AGPL,yes,yes,yes,yes
TeXmacs,Joris van der Hoeven,1996?,—,2012," Windows, Mac OS, Linux, BSD, Unix",free,GNU GPL,no,no,no,no
ThinkFree Office,Haansoft,1998,—,3.5," Windows, Linux, Fully online"," 49.95, Online Versions free",proprietary,yes,yes,no,yes
Tiki Wiki CMS Groupware,Tiki Software Community Association,2002,—," 12.2 LTS, 9.8 LTS and 6.14 LTS",Fully online,free,GNU LGPL,yes2 [http://doc.tiki.org/Search+within+files search],yes2 [http://doc.tiki.org/Search+within+files search],yes2 [http://doc.tiki.org/Search+within+files search],yes2 [http://doc.tiki.org/PDF Export] and [http://doc.tiki.org/Search+within+files search]
WordPerfect Office,Corel,1991,WordPerfect (1982),Latest stable software release/WordPerfect,Windows,69.99 - 399.99,proprietary,yes,yes,yes,yes2 Some versions
WPS Office (Kingsoft Office),Kingsoft,1988,—,PC 11.2.0 by April 2019," Windows, Android, Mac",$119.99 perpetual license; $29.99 annual subscription; free with ads,proprietary,yes,Yes,Yes2 With free add-in,yes2 Export in all versions; Import with subscription only
Zoho Office Suite,Zoho Corp.,2005,—,,Fully online," Up to 96 per user per year, depending on feature set",proprietary,yes,yes,yes,yes
Software Name,Developer,First public release,Predecessor,Latest Stable version / (Date),Operating system,Price in USD,License," Microsoft Office (.doc, .xls...) support",Microsoft Office Open XML support,OpenDocument Support,Portable Document Format support
