System,Git,Mercurial,Bazaar,Monotone,Darcs,CVS,Subversion,Perforce,AccuRev,ClearCase,Others
Apache Bloodhound,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Yes,No,No
Assembla Tickets,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No
Axosoft,Yes,Yes,No,No,No,No,Yes,Yes,No,No," Yes VSS, Vault Sourcegear"
Bugzilla,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
Debbugs,No,No,No,No,No,No,No,No,No,No,No
Faveo Helpdesk,No,No,No,No,No,No,No,No,No,No,No
FogBugz,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,2
Fossil,No,No,No,No,No,No,No,No,Yes,No,1
FusionForge,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No
GNATS,No,No,No,No,No,Yes,No,No,No,No,No
HP Application Lifecycle Management,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
IBM Rational ClearQuest,No,No,No,No,No,No,No,Yes,Yes,Yes,No
Jira,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes
MantisBT,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
Microsoft Dynamics CRM,No,No,No,No,No,No,No,No,No,No,No
org-mode,No,No,No,No,No,No,No,No,No,No,No
OTRS,No,No,No,No,No,No,No,No,No,No,No
Phabricator,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Pivotal Tracker,Yes,No,No,No,No,Yes,Yes,No,No,No,No
Redmine,Yes,Yes,Yes,No,Yes,Yes,Yes," Yes",No,No,No
Request Tracker,No,No,No,No,No,Yes,Yes,No,No,No,No
Roundup,No,No,No,No,Yes,No,Yes,No,No,No,No
StarTeam,No,No,No,No,No,No,No,No,No,No,Yes - StarTeam includes revision control
Supportworks,No,No,No,No,No,No,No,No,No,No,No
SysAid,No,No,No,No,No,No,Yes,No,No,No,No
Team Foundation Server,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes - TFS includes revision control
TestTrack,Yes,No,No,No,No,Yes,Yes,Yes,No,No," Yes - VSS"
Trac,Yes,Yes,Yes,Yes,Yes,No,Yes," Optional",Yes,No,No
TrackerSuite.Net,No,No,No,No,No,No,No,No,No,No,No
Tuleap,Yes,No,No,No,No,Yes,Yes,No,No,No,No
Twproject,No,No,No,No,No,No,Yes,No,No,No,No
Usersnap,No,No,No,No,No,No,No,No,No,No,No
Wrike,No,No,No,No,No,No,Yes,No,No,No,No
YouTrack,Yes,Yes
System,Git,Mercurial,Bazaar,Monotone,Darcs,CVS,Subversion,Perforce,AccuRev,ClearCase,Others
