Implementation,mode of operation,,,,Stream cipher,
,IDEA CBCgroup="n"name="removal_from_tls1.2"IDEA and DES have been removed from TLS 1.2.(insecure),DES CBC(insecure)," CBC(EXPORT, insecure)"," RC4-40(EXPORT, insecure)"
Botan,No,No,No,No,No,No
BoringSSL,No,No,No,No,Disabled by default at compile time,No
cryptlib,No,Disabled by default at compile time,No,No,Disabled by default at compile time,No
GnuTLS,No,No,No,No,Disabled by default,No
JSSE,No,Disabled by default,Disabled by default,No,Disabled by default,Disabled by default
LibreSSL,Yes,Yes,No,No,Yes,No
MatrixSSL,Yes,No,No,No,Disabled by default,No
mbed TLS,No,Disabled by default at compile time,No,No,Disabled by default at compile time,No
NSS,Yes,Disabled by default,Disabled by default,Disabled by default,Lowest priority,Disabled by default
OpenSSL,Disabled by default,Disabled by default,No,No,Disabled by default,No
RSA BSAFE Micro-Edition Suite,No,No,No,No,Disabled by default,No
RSA BSAFE SSL-J,No,Disabled by default,Disabled by default,No,Disabled by default,Disabled by default
SChannel XP/2003,No,Yes,Yes,Yes,Yes,Yes
SChannel Vista/2008,No,Disabled by default,Disabled by default,Disabled by default,Yes,Disabled by default
SChannel 7/2008R2,No,Disabled by default,Disabled by default,Disabled by default,Lowest prioritywill be disabled soon,Disabled by default
SChannel 8/2012,No,Disabled by default,Disabled by default,Disabled by default,Only as fallback,Disabled by default
SChannel 8.1/2012R2,No,Disabled by default,Disabled by default,Disabled by default,Disabled by default,Disabled by default
Schannel 10,No,Disabled by default,Disabled by default,Disabled by default,Disabled by default,Disabled by default
[https://developer.apple.com/library/mac/documentation/Security/Reference/secureTransportRef/index.html Secure Transport] OS X 10.6,Yes,Yes,Yes,Yes,Yes,Yes
[https://developer.apple.com/library/mac/documentation/Security/Reference/secureTransportRef/index.html Secure Transport] OS X 10.7,Yes,unknown,unknown,unknown,Yes,unknown
[https://developer.apple.com/library/mac/documentation/Security/Reference/secureTransportRef/index.html Secure Transport] OS X 10.8-10.9,Yes,Disabled by default,Disabled by default,Disabled by default,Yes,Disabled by default
[https://developer.apple.com/library/mac/documentation/Security/Reference/secureTransportRef/index.html Secure Transport] OS X 10.10-10.11,Yes,Disabled by default,Disabled by default,Disabled by default,Lowest priority,Disabled by default
[https://developer.apple.com/library/mac/documentation/Security/Reference/secureTransportRef/index.html Secure Transport] macOS 10.12,Yes,Disabled by default,Disabled by default,Disabled by default,Disabled by default,Disabled by default
wolfSSL,Disabled by default,No,No,No,Disabled by default,No
Erlang/OTP SSL application,no,Disabled by default,no,no,Disabled by default,no
Implementation,mode of operation,,,,Stream cipher,
,IDEA CBC,DES CBC(insecure)," DES-40 CBC(EXPORT, insecure)"," CBC(EXPORT, insecure)",RC4-128(insecure)," RC4-40(EXPORT, insecure)"
