Kernel Name,a.out,ECOFF,ELF,FDPICELFbinaries(mmu less),flatbinaries(superH),HUNK,Mach-O," Misc(wrapperbased,likeinterpreters)",PE," SOM(PA-RISC,HP-UX)",NLM,PEF,DOS COM,MZ,LE,LX,NE
Amiga Exec,No,No,Yes,No,No,Yes,No,No,No,No,dunno,dunno,dunno,dunno,dunno,dunno,dunno
DragonFly BSD kernel,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
HP-UX kernel,No,No,Yes,No,No,No,No,No,No,Yes,No,No,dunno,dunno,dunno,dunno,dunno
Linux kernel,Yes,Yes,Yes,Yes,Yes,No,No,Yes,some,Yes,dunno,No,dunno,dunno,dunno,dunno,dunno
MINIX 3 kernel,Some,No,Yes,No,No,No,No,No,No,No,No,No,dunno,dunno,dunno,dunno,dunno
NetBSD kernel,Yes,Yes,Yes,dunno,dunno,dunno,Yes,dunno,Yes,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
ReactOS kernel,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,Yes,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
Solaris kernel,Yes,No,Yes,No,No,No,No,No,some,No,dunno,dunno,dunno,dunno,dunno,dunno,dunno
Windows NT kernel,No,No,Yes with WSL,No,No,No,No,No,Yes,No,No,No,Yes on x86,Yes on x86,dunno,dunno,Yes on x86
XNU,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
