Software,Microsoft Windows,,,,,,,,,| [[Darwin (operating system)|Darwin]]/<br>[[OS X]],| [[Linux]],,,,| [[IBM]],,,,| [[HP-UX]],| [[illumos]]/<br>[[Solaris (operating system)|Solaris]]
,,2000,XP,Vista,2003 Server,2008 R2 Server,2008 Server,2012 Server,7 – 64 bit,,8 – 64 bit,Red Hat,SUSE,Ubuntu,CentOS,AIX,OS/390,[[i5/OS]],,,[[z/OS]]
,AdroitLogic UltraESB,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes
Anypoint Platform,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,yes,No,No,No,Yes,yes
Artix ESB," with SP3, SP4"," with SP1, SP2",,yes,,,,,,no,yes,yes,,,yes,,no,yes,yes,yes
Automation Anywhere Integration Pack,yes,yes,yes,yes,,,,,,no,no,no,,,no,no,no,no,no,no
BizTalk Server,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,,,no,,no,no,no,no
Flow Software,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,,,no,no,no,no,no,no
IBM Integration Bus,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes
JBoss Enterprise Service Bus (ESB),yes,yes,yes,yes,,,,,,yes,yes,yes,,,yes,,,,yes,yes
JBoss Enterprise SOA Platform,yes,yes,yes,yes,,,,,,yes,yes,yes,,,yes,,,,yes,yes
Informatica Power Center,yes,yes,yes,yes,,,,,,,yes,yes,,,yes,,yes,yes,yes,yes
Openadaptor,yes,yes,,yes,,,,,,yes,yes,yes,,,yes,,,,yes,yes
OpenESB,yes,yes,,yes,,,,,,yes,yes,yes,,,yes,no,no,no,yes,yes
OpenLink Virtuoso,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes
Oracle BPEL Process Manager,yes,yes,,yes,yes,,yes,yes,,,yes,yes,,,5L,,no,no,yes,yes
Oracle Enterprise Service Bus,yes,yes,,yes,yes,,yes,yes,,,yes,yes,,,yes,,no,no,yes,yes
PEtALS ESB,yes,yes,,yes,,,,,,yes,yes,yes,,,yes,no,no,no,yes,yes
SAP Exchange Infrastructure,yes,yes,yes,yes,,,,,,yes,yes,yes,,,yes,no,yes,yes,yes,yes
ServiceMix,yes,with SP2,yes,yes,,,,,,yes,yes,yes,,,yes,no,no,no,yes,yes
Sonic ESB,yes,yes,yes,yes,,,,,,,yes,yes,,,yes,no,no,no,yes,yes
Spagic,yes,yes,,yes,,,,,,yes,yes,yes,,,yes,no,no,no,yes,yes
Sun Java Composite Application Platform Suite,yes,yes,,yes,,,,,,,yes,yes,,,yes,no,no,no,yes,yes
TrackerSuite.Net,no,with SP2,yes,yes,,,,,,,,,,,,,,,,
Unify NXJ,with SP4,with SP1,,yes,,,,,,no,yes,yes,,,5.3,,no,no,yes,yes
WSO2 Enterprise Service Bus (ESB),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,yes
