width=4%Tax Year 2019,width=24%(Traditional) 401(k),width=24%Roth 401(k),width=24%Traditional IRA,width=24%Roth IRA
Tax benefit,,,,
Subjected taxes," Contributions are usually pre-tax; but can also be post-tax, if allowed by plan. Distributions are taxed as ordinary income (except any post-tax principal).",Contributions are post-tax. Qualified distributions are not taxable.," Contributions are deductible (subject to conditions). When deducted, contributions are pre-tax, otherwise, they are post-tax. Distributions are taxed as ordinary income (except any non-deducted principal).",Contributions are post-tax. Qualified distributions are not taxable.
Employer or Individual,Employer or Sole Proprietor sets up this plan.,,Individual sets up this plan.,
Contribution Limits,,,,
Contribution notes,,Effective limit is higher compared to traditional 401k as the contributions are post-tax.,,Effective limit is higher compared to traditional IRA as the contributions are post-tax.
Matching Contributions,Matching contributions available from some employers.," Matching contributions available through some employers, but they must sit in a pretax account.",No matching contributions available.,
Deduction Limits,,," Full deduction available on incomes up to $193,000, depending on tax filing status. See full rules."," Tax-exempt earnings on contributions available up to incomes of $203,000, depending on tax filing status. See full rules and Backdoor Roth IRA Contributions."
,(Traditional) 401(k),Roth 401(k),Traditional IRA,Roth IRA
Distributions,Distributions can begin at age 59½ or if owner becomes disabled.," Distributions can begin at age 59½ and the account has been open for at least 5 years, or if owner becomes disabled, with some exceptions.",Distributions can begin at age 59½ or if owner becomes disabled.,Distributions can begin at age 59½ as long as contributions are "seasoned" (5 years from January 1 of the year the first contribution was made) or owner becomes disabled.
Forced Distributions,Must start withdrawing funds at age 70½ unless employee is still employed. Penalty is 50% of minimum distribution.,Must start withdrawing funds at age 70½ unless employee is still employed and not a 5% owner. Penalty is 50% of minimum distribution.,Must start withdrawing funds at age 70½. Penalty is 50% of minimum distribution.,None.
Loans,,,No,
Early Withdrawal," Generally no when still employed with employer setting up the 401(k). Otherwise, 10% penalty plus taxes. There are some exceptions to this penalty."," Generally no when still employed with employer setting up the 401(k). Otherwise, taxes on the earnings, plus 10% penalty on taxable part of distribution and taxable part of unseasoned conversions. There are some exceptions to this penalty.",10% penalty plus taxes for distributions before age 59½ with exceptions.,Principal of contributions and seasoned conversions can be withdrawn at any time without tax or penalty. Additional amounts are subject to normal income taxes and 10% penalty if not qualified distributions.
Home Down Payment," Purchase of primary residence and avoidance of foreclosure or eviction of primary residence, subject to 10% penalty, if hardship withdrawals are available in the plan.",," Can withdraw up to $10,000 for a first time home purchase down payment with stipulations."," Up to $10,000 can be used for primary home down payment. Must have held Roth IRA for a minimum of 5 years. Must not have owned a home in previous 24 months. House must be owned by IRA owner or direct linear ancestors or descendants."
Education Expenses," Payment of secondary educational expenses in last 12 months for employee, spouse, or dependents, subject to 10% penalty, if hardship withdrawals are available in the plan.",,
Medical Expenses," Medical expenses not covered by insurance for employee, spouse, or dependents, subject to 10% penalty, if hardship withdrawals are available in the plan. Medical expenses in excess of 7.5% of your adjusted gross income may be exempt to the 10% penalty.",Can withdraw for qualified unreimbursed medical expenses that are more than 7.5% of AGI; medical insurance during period of unemployment; during disability.,
,(Traditional) 401(k),,Roth 401(k),Traditional IRA,Roth IRA
Conversions and Rollovers," Upon termination of employment (or in some plans, even while in service), can be rolled to IRA or Roth IRA.  When rolled to a Roth IRA, taxes need to be paid during the year of the conversion. ",," Cannot be converted to a traditional 401(k), but upon termination of employment (or in some plans, even while in service), can be rolled into Roth IRA."," Can be converted to a Roth IRA, typically for backdoor Roth IRA contributions. Taxes need to be paid during the year of the conversion. Also, the non-basis portion can be rolled over into a 401(k), if allowed by the 401(k) plan.",
Changing Institutions,Can roll over to another employers 401(k) plan or to a rollover IRA at an independent institution.,Can roll over to another employers Roth 401(k) plan or to a Roth IRA at an independent institution.,Funds can be either transferred to another institution or they can be sent to the owner of the traditional IRA who has 60 days to put the money in another institution in a rollover contribution to another traditional IRA.,
Beneficiaries
,,When owner dies, spouse as beneficiary can roll both accounts into one IRA account. Other beneficiaries will be subject to forced distributions (taxable) based on life expectancy. Beneficiaries will not pay estate tax if the inheritance is under the exemption amount.",
Protection,,,Account is protected from bankruptcy up to $1 million. Protection from creditors varies by state (from none to full protection).,
,(Traditional) 401(k),Roth 401(k),Traditional IRA,Roth IRA
