Shell,Functions,Exception handling,Search  ; replace on variable substi ;shy;tutions,Arith ;shy;metic,Floating point,Math function library,Linear arrays or lists,Assoc ;shy;iative arrays,Lambda functions,eval func ;shy;tion,Pseudo ;shy;random number generation,Bytecode
Bourne shell 1977 version,no,Yes (via trap),no,no,no,no,no,no,no,yes,no,no
Bourne shell current version,Yes since SVR2,Yes (via trap),no,yes,no,no,no,no,no,yes,no,no
POSIX shell,yes,Yes (via trap),no,yes,no,no,no,no,no,yes,no,no
bash (v4.0),yes,Yes (via trap),Yes (via ${//} syntax),yes,no,no,yes,yes,no,yes,Yes ($RANDOM),no
csh,no,no,Yes (via $var:s/// syntax),yes,no,no,yes,no,no,yes,no,no
tcsh,no,no,Yes (via $var:s/// syntax),yes,no,no,yes,no,no,yes,no,no
Hamilton C shell,yes,no,Yes (via $var:s/// syntax),yes,yes,yes,yes,no,no,yes,Yes (random utility),no
Scsh,yes,?,Yes (via string functions and regular expressions),?,?,?,yes,?,yes,yes,"Yes (random-integer, random-real)","Yes (compiler is Scheme48 virtual machine, via scshvm)"
ksh (ksh93t+),yes,Yes (via trap),Yes (via ${//} syntax and builtin commands),yes,yes,yes,yes,yes,no,yes,Yes ($RANDOM),Yes (compiler is called shcomp)
pdksh,yes,Yes (via trap),no,yes,no,no,yes,no,no,yes,Yes ($RANDOM),no
zsh,yes,yes,Yes (via ${:s//} and ${//} syntax),yes,yes,Yes (zsh/mathfunc module),yes,yes,no,yes,Yes ($RANDOM),Yes (built-in zcompile command)
ash,yes,yes (via trap),no,Yes (since 1992),no,no,no,no,no,yes,no,no
CCP,no,?,no,no,?,?,no,no,no,no,no,no
COMMAND.COM,no,partial (only Auto-fail (via COMMAND /F (or /N in some versions of DR-DOS)),no,no,no,no,no,no,no,no,no,no
OS/2 CMD.EXE,no,no,no,?,no,no,?,no,no,no,no,no
Windows CMD.EXE,Yes (via CALL :label),no,Yes (via SET %varname:expression syntax),Yes (via SET /A),no,no,Yes (via SET),no,no,no,Yes (%random%),no
4DOS,yes,"Yes (via ON command, optional Auto-fail via 4DOS /F)",Yes (via %@Replace[...] function),Yes (via SET /A),?,?,"Yes (via ranges, include lists, @file lists and FOR command)",no,no,yes,Yes (%@Random[...] function),Yes (via BATCOMP command)
4OS2,?,?,?,?,?,?,?,?,no,yes,yes (%@Random[...] function),?
TCC (formerly 4NT),yes,Yes (via ON and various ...MONITOR commands),Yes (via %@Replace[...] function),Yes (via SET /A),?,?,"Yes (via ranges, include lists, @file lists and FOR command)",?,no,yes,yes (%@Random[...] function),yes (via BATCOMP command)
PowerShell,yes,yes (Try-Catch-Finally),Yes (-replace operator),yes,yes,[Math] class,yes,yes,yes,yes,yes,"Yes, automatic"
rc,yes,yes,no,?,?,?,yes,?,no,yes,no,no
BeanShell,yes,yes,?,yes,?,?,yes,yes,no,yes,yes,yes
VMS DCL,yes,yes,no,yes,no,"yes, for compiled programs",yes,no,no,no,no,no
fish,yes,Yes (via trap),no,yes,yes,yes,yes,no,no,yes,Yes (random),no
