Software,Budget Management,Time Tracking,Invoicing
2-plan,No,No,No
24SevenOffice,yes,yes,yes
Actionspace,no,yes,no
Apache Allura,no,no,no
Apache OFBiz,yes,yes,yes
Apache Bloodhound,No,No,No
Asana,No,yes,no
Assembla,No,yes,No
Axosoft,No,Yes,No
Basecamp,No,No,No
Calligra Plan,No,No,No
CEITON,yes,yes,yes
Clarizen,yes,yes,No
Collabtive,No,yes,No
Compuware Changepoint,No,yes,No
ConceptDraw Project," yes "," yes ",No
Concerto Project Management,yes,yes,Yes
Copper Project,yes,yes,yes
dotProject,No,No,No
DynaRoad,Yes,Yes,No
Easy projects,yes,yes,yes
Eclipse PPM software,No,No,No
eGroupWare,No,yes,No
enQuire,yes,yes,yes
FastTrack Schedule,No,No,No
Feng Office Community Edition,No,yes,yes
FinancialForce.com,No,yes,yes
FogBugz,No,Yes,No
FusionForge,No,yes,No
GanttProject,No,No,No
Genius Project,Yes,Yes,Yes
GroveSite,No,No,No
Hall.com,No,No,No
Helix ALM,no,yes,no
HeySpace,No,No,No
HP Project  ; Portfolio Software,No,No,No
Huddle,No,No,No
Hyperoffice,No,yes,No
iManageProject,No," yes",No
InLoox," yes"," yes"," yes"
in-Step BLUE,yes,yes,No
Jira,No,Yes,No
Launchpad,No,No,No
LibrePlan,No,yes,No
LiquidPlanner,No,yes,No
LisaProject,No,No,No
MacProject,No,No,No
MantisBT,No," yes",No
MeisterTask,no,yes,no
Métier,yes,yes,yes
Microsoft Dynamics AX,Yes,Yes,Yes
Microsoft Office Project Server,Yes,Yes,No
Microsoft Project,yes,yes,no
Microsoft SharePoint Server,No,No,No
Microsoft Team Foundation Server,No,No,No
Milestones Professional,No,No,No
MyWorkPLAN,yes,No,No
NetPoint,No,No,No
NetSuite,yes,yes,no
O3Spaces,No,No,No
OmniPlan,No,No,No
OnePager Pro,no,no,no
Open Workbench,No,No,No
OpenProj,No,No,No
OpenProject,yes,yes,no
Oracle Primavera EPPM (Primavera P6),Yes,Yes,No
phpGroupWare,No,No,No
PHProjekt,No," yes",No
Pivotal Tracker,No,No,No
Plandora,yes,yes,No
Planisware,yes,yes,yes
PLANTA Project,yes,yes,No
Project KickStart,No,No,No
Project Team Builder,No,No,No
ProjectLibre,yes,yes,no
ProjectManager.com," yes"," yes",No
Project.net,No," yes",Yes
Projectplace,No,No,No
Projektron BCS,yes,yes,yes
ProjeQtOr,yes,yes,yes
Proliance,No,No,No
Prolog,Yes,Yes,Yes
Pyrus,Yes,Yes,Yes
RationalPlan,Yes,Yes,Yes
Realisor,No,No,No
Redbooth,No,yes,No
Redmine,No,yes,No
Rillsoft Project  ; Integration Server,Yes,Yes,No
SAP Business ByDesign,yes,yes,yes
Sciforma,yes," yes",No
Scoro,yes,yes,yes
Severa,No,yes,No
Smartsheet,No,No,No
Streamtime Software,yes,yes,yes
Spider Project,yes,yes,yes
TACTIC,No,No,No
Talygen,No,Yes,Yes
TaskJuggler,No,No,No
Teamcenter,yes,yes,no
TeamDynamixHE,yes,yes,No
TeamLab,No,No,No
Teamwork.com,No,yes,yes
Toms Planner,No,No,No
Trac,No,No,No
TrackerSuite.Net,No,yes,No
Traction TeamPage,No,Yes,No
Trello,No,No,No
Triskell,yes,yes,yes
Tuleap,no,no,no
Twproject," yes",yes,No
UniPhi,yes,yes,yes
VPMi,yes,yes,No
web2project,No," No",No
Workamajig,yes,yes,No
Workfront,yes,yes,No
WorkPLAN Enterprise,No,yes,No
workspace.com,No,yes,No
Wrike,No,Yes,No
Zoho Projects," Yes"," yes"," yes "
