Format,Languages
" string_in_string(string, loc int, substring)",ALGOL 68
" ContainsStr(string, substring)",Delphi)
" strstr(string, substring) != NULL"," C, C++ (char * only)"
string.Contains(substring)," C#, VB .NET, F#"
string.contains(substring)," Cobra, Java (1.5+), Raku, Rust"
string.indexOf(substring)  ;gt;= 0,JavaScript
" strpos(string, substring) !== false",PHP
" pos(string, substring)  ;lt; ;gt; 0",Seed7
substring in string,"Cobra, Python (2.3+)"
" string.find(string, substring) ~= nil",Lua
string.include?(substring),Ruby
Data.List.isInfixOf substring string,Haskell (GHC 6.6+)
string includesSubstring: substring,"Smalltalk (Squeak, Pharo, Smalltalk/X)"
String.isSubstring substring string,Standard ML
(search substring string),Common Lisp
(not (null (string-index substring string))),ISLISP
(substring? substring string),Clojure
" StringFreeQ[string, substring]",Mathematica
" index(string, substring, startpos)>0","Fortran, PL/I"
" index(string, substring, occurrence)>0",Pick Basic
" strings.Contains(string, substring)",Go
string.find(substring) != string::npos,C++
[string containsString:substring],"Objective-C (NSString * only, iOS 8+/OS X 10.10+)"
string.rangeOfString(substring) != nil,Swift (Foundation)
∨/substring⍷string,APL
