" width=""10%"" Feature"," width=""10%"" Android"," width=""10%"" iOS"," width=""10%"" Tizen"," width=""10%"" Sailfish OS"," width=""10%"" Ubuntu Touch"
Audio playback,"AAC LC/LTP 3GPP, HE-AACv1 (AAC+), HE-AACv2 (enhanced AAC+) AMR-NB, AMR-WB, MP3, MIDI (Type 0 and 1, DLS versions 1 and 2), Ogg Vorbis, PCM/WAVE, Opus","AAC, protected AAC (from iTunes Store), HE-AAC, MP3, MP3 VBR, Audible (formats 2, 3, 4, Audible Enhanced Audio, AAX, and AAX+), Apple Lossless, AIFF, WAV"," AAC, AAC+, eAAC+, AMR-NB, AMR-WB, MP3, Vorbis, WAV","MP3, FLAC, AAC, eAAC, eAAC+, ALAC, AC3, DTS, Opus, Vorbis",?
Video playback,"H.263, H.264 (up to Baseline Profile), H.265 HEVC, MPEG-4 SP, DivX, XviD, VP8, VP9 although audio in recorded videos is out of sync",?
Wired video out,4K on 6+,"Up to 1080p via HDMI or VGA, 576p/480p via component or composite;",No,No,Yes
Wired digital audio output,5+ USB Audio,7+: USB Audio,No,No,Yes
Wireless video/audio streaming to set top boxes/TVs/speakers,4.2+ DLNA only available on selected devices,AirPlay,DLNA,?,Yes
Media player on-device playlist creation,Yes,Yes,?,Yes,Yes
Media player video scrubbing,Yes,Yes,?,?,?
Media player audio scrubbing,Yes,Yes,?,?,?
Media player fine scrubbing,"No2 No, 3rd party software like VLC media player, basic fine scrubbing removed on 4+",Yes,?,?,?
Media player double speed playing,6+,Only Podcasts,?,?,?
