Name,License,Cost,OS X,Unix-like,Windows,Audio,Images,Video,Transcoding,Web Interface,DLNA support,Multilingual,Implementation,Subtitles,Still Supported,Misc.
360 Media Server,GPL,Free,No,Yes,Yes,Yes,No,No,Yes,Yes,unknown,unknown,Java,unknown,No,
ALLMediaServer,GPL,Trialware,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Delphi/Python,Yes,Yes,
ArkMS,Prop.,nonfree,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,unknown,C++,Yes,Yes,
aVia Media Player,Prop.,Free,No,No,No,Yes,Yes,Yes,Yes,No,Yes,unknown,Java,unknown,Yes,
BRisa,MIT,Free,Partial,Partial,Yes,unknown,unknown,Python,unknown,unknown,
Coherence,MIT,Free,Partial,Yes,Yes,unknown,Python,unknown,No,
DivX,Prop.,Free,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,C++,unknown,Yes,
Elgato Eyeconnect,Prop.,nonfree,Yes,No,No,Yes,Yes,Yes,No,No,unknown,Yes,unknown,unknown,No,
Foobar2000,Prop.,Free,No,No,Yes,Yes,No,No,Yes,No,unknown,unknown,C++,unknown,Yes,
FUPPES,GPL,Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,unknown,C++,unknown,No,
GeeXboX uShare,GPL,Free,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,unknown,C,unknown,No,
Gmediaserver,GPL,Free,No,Yes,No,Yes,No,Yes,No,No,unknown,unknown,C,unknown,No,
Home Media Center,GPLv2,Free,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,.NET 4,Yes,Yes,
iSedora Media Server,Prop.,nonfree,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,unknown,Objective C / C++ / JavaScript,unknown,Yes,
Jamcast,Prop.,free,No,No,Yes,Yes,Yes,No,Yes,No,Yes,unknown,C++ / C# / Java,unknown,Yes,
JRiver Media Center,Prop.,nonfree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C++,Yes,Yes,
Kodi (formerly XBMC),GPL,Free,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,C++,Yes,Yes,
KooRaRoo Media,Prop.,nonfree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C++,Yes,Yes,
LimboMedia,Prop.,Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Java,Yes,Yes,
LXiMedia,GPL,Free,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, mandatory",Yes,Yes,unknown,C++,Yes,No,
Majestic Media Server,Prop.,nonfree,Yes,No,No,Yes,Yes,Yes,Yes,No,unknown,unknown,unknown,unknown,unknown,
MediaMonkey,Prop.,nonfree,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Delphi,Yes,Yes,
MediaTomb,GPL,Free,Partial,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,unknown,C++,unknown,No,
Gerbera,GPL,Free,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,unknown,C++,unknown,Yes,Based on MediaTomb
ReadyMedia (formerly MiniDLNA),GPL/BSD,Free,Partial,Yes,Yes,Yes,Yes,Yes,Partial,Partial,Yes,unknown,C,Yes,Yes,
Mezzmo,Prop.,Free,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C++,Yes,Yes,
myiHome,Prop.,Free,Yes,Yes,Yes,Yes,Yes,Yes,No,No,unknown,unknown,Java,unknown,unknown,
MythTV with uPnP,GPL,Free,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,unknown,unknown,C++,unknown,unknown,
Nullriver Medialink,Prop.,nonfree,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,unknown,unknown,Yes,unknown,
PlayOn,Prop.,nonfree,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C#,Partial,unknown,
Plex,Prop.,nonfree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C++ / Python,Yes,Yes,
PS3 Media Server,GPL,Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Java,Yes,No,
PyMedS,MIT,Free,Partial,No,unknown,unknown,Python,unknown,No,
Rygel,LGPLv2,Free,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Vala,unknown,Yes,
Rivet,Prop.,Free,Yes,No,No,Yes,Yes,Yes,No,No,unknown,unknown,unknown,unknown,No,
Serviio,Prop.,nonfree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Java,Partial,unknown,
SimpleCenter Premium,Prop.,nonfree,No,No,Yes,Yes,Yes,Yes,Yes,Yes,unknown,unknown,unknown,unknown,unknown,
Skifta,Prop.,Free,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,unknown,Java,unknown,unknown,
Songbird,GPLv2,Free,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,C++,No,No,
TVble,Prop.,Free,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,C#/C++,unknown,Yes,
TVersity,Prop.,nonfree,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,unknown,unknown,Yes,Yes,
TVMOBiLi,Prop.,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,C++,Yes,No,
TVShare,Prop.,nonfree,No,No,Yes,Yes,Yes,Yes,Yes,No,unknown,unknown,Java,unknown,unknown,
TwonkyMedia server,Prop.,nonfree,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Yes,Yes,unknown,unknown,Yes,
Universal Media Server,GPL,Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Java,Yes,Yes,Based on PS3 Media Server
Windows Media Connect,Prop.,Free,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,unknown,unknown,Yes,
Wild Media Server,Prop.,Trialware,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Delphi,Yes,Yes,
xupnpd,GPLv2,Free,No,Yes,No,Yes,unknown,Yes,No,Yes,Yes,unknown,C++,unknown,unknown,
Yazsoft Playback,Prop.,nonfree,Yes,No,No,Yes,Yes,Yes,No,No,unknown,unknown,unknown,unknown,No,
Name,License,Cost,OS X,Unix-like,Windows,Audio,Images,Video,Transcoding,Web Interface,DLNA support,Multilingual,Implementation,Subtitles,Still Supported,
