Name,Unicode Support,Single parent family,Same sex marriage,Witness to events,Name variants,Conflicting evidence,Source surety,Adoption  ; foster parent,non-standard calendarin date fields
Agelong Tree,yes,yes,no,yes,yes,dunno,yes,yes,yes
Ahnenblatt,yes,yes,yes,partialchristening and marriage only,yes,dunno,yes,yes,yes
Ancestral Quest,yes,yes,no,dunno,yes,yes,yes,yes,dunno
Brothers Keeper,no,yes,yes,yes,yes,dunno,yes,yes,yes
Family Historian,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Family Tree Builder,yes,yes,yes,dunno,yes,dunno,yes,yes,yes
Family Tree Maker,yes,yes,yes,no,yes,yes,yes,yes,no
GEDitCOM II,yes,dunno,yes,dunno,dunno,dunno,dunno,dunno,dunno
Genbox Family History,yes,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
GenealogyJ,yes,dunno,partialOne partners gender mislabelled,no,yes,yes,dunno,yes,dunno
GenEarth,yes,yes,no,no,no,dunno,dunno,yes,yes
Genney,yes,yes,yes,dunno,yes,dunno,yes,yes,yes
GenoPro,yes,yes,yes,yes,yes,yes,yes,yes,yes
Gramps,yes,yes,partialOne partners gender mislabelled,yes,yes,dunno,yes,yes,yes
Heredis,yes,yes,yes,yes,yes,yes,yes,yes,yes
bbb,no,yes,yes,yes,yes,yes,yes,yes,dunno
LifeLines,yes,dunno,no,dunno,dunno,dunno,dunno,dunno,dunno
MacFamilyTree,yes,yes,yes,yes,yes,yes,yes,yes,yes
Personal Ancestral File,yes,dunno,no,dunno,dunno,dunno,dunno,dunno,dunno
Reunion,yes,yes,yes,yes,yes,yes,dunno,yes,yes
RootsMagic,yes,dunno,yes,yes(paid version),yes,yes,yes,yes,yes
The Master Genealogist,no,yes,yes,yes,yes,yes,yes,yes,yes
