British English,American English
not touch something with a bargepole,not touch something with a ten-foot pole
sweep under the carpet,sweep under the rug*
touch wood,knock on wood
see the wood for the trees,see the forest for the trees
put a spanner in the works,throw a (monkey) wrench in(to) (a situation)
put (or stick) your oar inbut it wont make a haporth of differenceto put your two pennorth (or tuppence worth) in,to put your two cents (or two cents worth) in
skeleton in the cupboard,skeleton in the closet
a home from home,a home away from home
blow ones own trumpet,blow (or toot) ones own horn
a drop in the ocean,"a drop in the bucket, "
flogging a dead horse,beating a dead horse
havent (got) a clue,dont have a clue or have no clue (the British forms are also acceptable)
couldnt care less,could care less or couldnt care less
a new lease of life,a new lease on life
lie of the land,lay of the land
take it with a pinch of salt,take it with a grain of salt
a storm in a teacup,a tempest in a teapot (rare)
slowcoach,slowpoke
