Name,Keyboard mapping,Session tabs,ZMODEM transfers,Find text in buffer,Mouse input supportgroup=Notemouse_input,Unicode support,URL hyperlinking,Public key authentication,Smart card support,Hardware encryption,FIPS 140-2 validation,Scripting,Shared Database,Auto-reconnect,CA Certificates
AbsoluteTelnet,full,yes,yes,yes,yes,yes,yes,yes,yes,dunno,yes,yes,dunno,dunno,dunno
Bitvise SSH Client,dunno,no,no,no,yes,yes,no,yes,no,dunno,partial,yes,no,yes,no
OpenSSH (OpenBSD Secure Shell),dunno,no,no,dunno,group=Noteopenssh_mouse_input,yes,not nativegroup=Noteopenssh_url_highlight,yes,group=Noteopenssh_smartcard,yes,group=Noteopenssh_fips,No,No,dunno,group=NoteopensshCA
PuTTY,no,group=NoteputtyTabs,no,no,yes,yes,group=NoteputtyHyperlink,yes,group=NoteputtySmartcard,yes,no,no,no,no,group=NoteputtyCA
SecureCRT,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,dunno,dunno
SmartFTP,partial,yes,no,yes,yes,yes,yes,yes,yes,AES-NI,yes,no,dunno,dunno,dunno
Tera Term,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,dunno,dunno
TN3270 Plus,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,dunno,dunno,dunno
TtyEmulator,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,dunno,dunno,dunno
wolfSSH,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,dunno,yes
ZOC,full,yes,yes,Alt+F,yes,UTF-8,yes,yes,pkcs#11,no,no,yes,dunno,dunno,dunno
