Name,Developer,Software license,Latest stable software release,Operating system," Year (not dynamic, but easier for sorting)"
BitComet,BitComet Development Group," Proprietary, Adware",Latest stable software release/BitComet,"Windows, macOS",2020
BitLord,House of Life," Proprietary, Adware installs WhenU adware",Latest stable software release/BitLord,"Windows, macOS",2017
BitTorrent,BitTorrent," Proprietary, Adware",Latest stable software release/BitTorrent (software),"Windows, macOS",2020
Deluge,various,GPL,Latest stable software release/Deluge,"Windows, macOS, Linux, BSD",2019
FlashGet,Trend Media,Proprietary,Latest stable software release/FlashGet,Windows,2013
Free Download Manager,alervd,Proprietary,6.10.0 (build 3016) (5 June 2020; 19 days ago),"Windows, macOS, Android",2020
FrostWire,The FrostWire Project,GPL,Latest stable software release/FrostWire,"Windows, macOS, Linux, Android",2019
KGet,KDE,GPL,Latest stable software release/KGet,Linux,2019
KTorrent," Joris Guisson, Ivan Vasić",GPL,Latest stable software release/KTorrent,Linux,2020
Lftp,Alexander V. Lukya,GPL,Latest stable software release/Lftp,Linux,2018
LimeWire,Lime Wire LLC,GPL,Latest stable software release/LimeWire,"Windows, macOS, Linux",2010
Miro,Participatory Culture Foundation,GPL,Latest stable software release/Miro,"Windows, macOS, Linux",2013
MLDonkey,MLDonkey Project,GPL,Latest stable software release/MLDonkey,"Windows, macOS, Linux, MorphOs",2020
μTorrent,BitTorrent,a,Latest stable software release/μTorrent,"Windows, macOS, Android",2018
Opera 12,Opera Software,Proprietary," Windows (Presto) – 12.17 Linux, FreeBSD, macOS – 12.16","Windows, macOS, Linux",2016
qBittorrent,Christophe Dumez,GPL,Latest stable software release/qBittorrent,"Windows, macOS, Linux, BSD",2020
rTorrent,Jari Sundell,GPL,Latest stable software release/rTorrent,Linux,2019
Robert," Sponge, co-developer of I2P",GPL,Latest stable software release/Robert (P2P software),,2009
Shareaza,Shareaza Development Team,GPL,Latest stable software release/Shareaza,Windows,2017
Tixati,Kevin Hearn,Proprietary,Latest stable software release/Tixati,"Windows, Linux",2020
Tonido,CodeLathe,Proprietary,Latest stable software release/Tonido,"Windows, macOS, Linux, BSD",2012
Transmission,various,MIT,Latest stable software release/Transmission (BitTorrent client),"Windows, macOS, Linux, BSD",2020
Tribler,The Tribler Team,LGPL,Latest stable software release/Tribler,"Windows, macOS, Linux, Android",2019
Vuze (formerly Azureus),Vuze," Proprietary (platform), GPL (core engine), Adware",Latest stable software release/Vuze,"Windows, macOS, Linux, Android",2017
Xunlei,Thunder Networking Technologies,Proprietary,Latest stable software release/Xunlei,"Windows, macOS, Android, iOS",2017
Name,Developer,Software license,Latest stable software release,,Year
