Implementation,Dependencies,Optionaldependencies
Botan,C++11," liblzma (compression), boost, openssl (crypto backend), trousers (TPM)"
GnuTLS,libcnettlegmp,zlib (compression)p11-kit (PKCS #11)trousers (TPM)
JSSE,Java,
MatrixSSL,none,zlib (compression)
MatrixSSL-open,libc or newlib,
mbed TLS,libc,libpkcs11-helper (PKCS #11)zlib (compression)
NSS,libclibnspr4libsoftokn3libplc4libplds4,zlib (compression)
OpenSSL,libc,zlib (compression)
wolfSSL,None," libc, zlib (compression)"
Erlang/OTP ssl application," libcrypto (from OpenSSL), Erlang/OTP  and its public_key, crypto and asn1 applications",Erlang/OTP -inets (http fetching of CRLs)
Implementation,Dependencies,Optionaldependencies
