throw,handler,assertion
Ada,raise exception_name «with string_expression»,beginstatementsexceptionwhen exception_list1 => statements;when exception_list2 => statements;...«when others => statements;»endAda_uncaught_exceptions[b],pragma Assert («Check =>» boolean_expression ««Message =>» string_expression»)[function  procedure  entry] withPre => boolean_expressionPost => boolean_expressionany_type with Type_Invariant => boolean_expression
APL,«string_expression» ⎕SIGNAL number_expression,:Trap number«s»_expressionstatements«:Case number«s»_expressionstatements»...«:Else number«s»_expressionstatements»:EndTrap,«string_expression» ⎕SIGNAL 98/⍨~condition
C (C99)," longjmp(state, exception);",switch (setjmp(state)) { case 0: instructions break; case exception: instructions ... },assert(condition);
C++,throw exception;,try { instructions } catch «(exception)» { instructions } ...,
C#,,try { instructions } catch «(exception« name»)» { instructions } ... «finally { instructions }»,<code>System.Diagnostics.Debug.Assert(condition);</code>or
System.Diagnostics.Trace.Assert(condition);,
Java,,try { instructions } catch (exception) { instructions } ... «finally { instructions }»,<code>assert condition «: description»;</code>
JavaScript,,try { instructions } catch (exception) { instructions } «finally { instructions }»,{{dunno}}
D,,try { instructions } catch (exception) { instructions } ... «finally { instructions }»,<code>assert(condition);</code>
PHP,,try { instructions } catch (exception) { instructions } ... «finally { instructions }»,<code>assert(condition);</code>
S-Lang,,try { instructions } catch «exception» { instructions } ... «finally { instructions }»,{{dunno}}
Windows PowerShell,trap «[exception]» { instructions } ... instructions or try { instructions } catch «[exception]» { instructions } ... «finally { instructions }»,[Debug]::Assert(condition)
Objective-C,@throw exception;,@try { instructions } @catch (exception) { instructions } ... «@finally { instructions }»," NSAssert(condition, description);"
Swift,throw exception (2.x),do { try expression ... instructions } catch exception { instructions } ... (2.x)," assert(condition«, description»)"
Perl,die exception;,eval { instructions }; if ($@) { instructions },dunno
Raku,,try { instructions CATCH { when exception { instructions } ...,{{dunno}}
Ruby,raise exception,begin instructions rescue exception instructions...  «else instructions» «ensure instructions» end,
Smalltalk,exception raise,instructionBlock on: exception do: handlerBlock,assert: conditionBlock
Common Lisp," (error ""exception"") or  (error typearguments) or  (error (make-conditiontypearguments))",(handler-case(progn instructions)(exception instructions)...) or (handler-bind(condition (lambdainstructions«invoke-restart restart args»))...)a[a],(assert condition) or (assert condition«(place)«error»») or (check-type var type)
Scheme (R6RS),(raise exception),(guard (con (condition instructions) ...) instructions),dunno
ISLISP," (error ""error-string"" objects) or  (signal-condition condition continuable)",(with-handlerhandler form*),dunno
Pascal,raise Exception.Create(),try Except on E: exception do begin  instructions  end; end;,dunno
Visual Basic,Err.Raise ERRORNUMBER,With New Try: On Error Resume Next OneInstruction .Catch: On Error GoTo 0: Select Case .Number Case ERRORNUMBER instructions End Select: End With  *** Try class *** Private mstrDescription As String Private mlngNumber As Long Public Sub Catch()
mstrDescription = Err.Description
mlngNumber = Err.Number
End Sub Public Property Get Number() As Long
Number = mlngNumber
End Property Public Property Get Description() As String
Description = mstrDescription End Property,Debug.Assert condition
Visual Basic .NET,Throw exceptionor
Error errorcode,Try instructions Catch« name As exception»« When condition» instructions ...  «Finally instructions» End Try,System.Diagnostics.Debug.Assert(condition)or
System.Diagnostics.Trace.Assert(condition)
Xojo,Raise exception,Try instructions Catch «exception»instructions ...  «Finally instructions» End Try,n/a
Python,raise exception,try:  Tab instructions  except «exception»:  Tab instructions  ...  «else:  Tab instructions»  «finally:  Tab instructions»,assert condition
Fortran,n/a,,
Forth,code THROW,xt CATCH ( code or 0 ),n/a
OCaml,raise exception,try expression with pattern -> expression ...,assert condition
F#,,<code>try expression with pattern -> expression ... <br/> or <br/>try expression finally expression</code>,
Standard ML,raise exception «arg»,expression handle pattern => expression ...,
Haskell (GHC),throw exception  or  throwError expression,catch tryExpression catchExpression  or  catchError tryExpression catchExpression,assert condition expression
COBOL,RAISE «EXCEPTION» exception,USE «AFTER» EXCEPTION OBJECT class-name. orUSE «AFTER» EO class-name. or USE «AFTER» EXCEPTION CONDITION exception-name «FILE file-name». orUSE «AFTER» EC exception-name «FILE file-name».,n/a
