Application,AlembicImporter,USDImporter,RenderingEngine,VolumeRenderingfor clouds,InteractiveRendering,Isolatinglight contribution,LightLister,IESLight,Physical Sun  ; Sky,Sun Positioning by location and times,Light Portal,Shadow Catcher,IBL and Environment texture,,,| Highlight Placement,| Light Layers
,,,,,,,,,,,,,! Lat Long,sIBL,Light Extraction,,
Maya,Yes,(USD for Maya),Maya Hardware 2.0,?,Yes,No,Light Editor,?,?,?,?,?,yes,?,?,(Place Highlight Tool for Maya),No
,,,Maya Software,?,?,Light Linking,,No,?,?,?,?,{{Yes|Env Sphere}},{{?}},{{?}},,{{No}}
,,,Arnold,yes,yes,Light Linking,,Ai Photometric Light,yes,?,yes,yes,{{yes}},{{?}},{{?}},,{{No}}
3ds Max,Yes,No,Quicksilver,?,Yes,No,Light Lister,?,?,?,?,?,?,?,?,Place Highlight,No
,,,Scanline,?,?,Light Exclude/Include,,?,?,?,?,Yes,{{?}},{{Partial|sIBL-GUI software}},{{?}},,{{No}}
,,,ARTAutodesk Raytracer,?,?,?,,Yes,?,?,?,?,{{?}},{{?}},{{?}},,{{No}}
,,,Arnold,yes,yes,Light Group,,Ai Photometric Light,yes,Sun Positioner,yes,yes,{{yes}},{{?}},{{?}},,{{No}}
Blender,2.78 and later,No,Workbench,some,Yes,View Layers,Property Chart Addon / Gaffer addon,No,?,Sun Position addon,No,?,yes,?,?,Look At Gizmo (with Ctrl key),No
,,,EEVEE,some,Yes,,,No,Yes,,{{No}},{{partial|Shader Node}},{{yes}},{{?}},{{?}},,{{No}}
,,,Cycles,Yes,Yes,,,2.80 and later,Yes,,{{Yes|from 2.75}},{{Yes|from 2.79}},{{yes}},{{Partial|sIBL_GUI for Blender addon/<br>Add Environment nodes addon}},{{?}},,{{No}}
MODO,Yes,14.1 and later,MODO Renderer,Yes,Yes,Light Linking,?,Photometric Light,Directional Light,,Portal,Shadow Catcher,yes,mm_sIBLToModoEnvironment script,?,?,{{No}}
LightWave,11.6 and later,No,LightWave Renderer,Yes,Yes,?,?,Photometric Light,Yes,Yes,Yes,Yes,Yes," original loader script, where most sIBL features were invented",?,?,No
Houdini,yes,Solaris,Mantra (PTPath Tracing) / Karma,Yes,Yes,Light categories,Light bank,yes,?,?,?,Shadow Matte,yes,?,?,Solaris,?
Cinema 4D,yes,R23 and later,CineRender,?,Yes,Exclude/Include,?,Yes,?,?,?,from R18,yes,?,?,?,?
