[ Aspect
, Esperanto
, Interlingua
],
| uses [[diacritics]]br(ĉ ĝ ĥ ĵ ŝ ŭ),| does not use diacritics,
| invariable letter-to-phoneme correspondence,| letters c h g q t and w are variable,
| mostly Romance and Germanic languages,| primary control languages:brEnglish French Italian Spanish and Portuguese,
| masculine by default;brfeminine optional,| only for [[Third-person pronoun|third-person pronouns]],
| formed by ''mal-'' prefix ,| ''dis-'' for verbs and words derived from verbsbr''in-'' for adjectives and words derived from adjectivesbrin addition certain roots can be prefixed e.g. ''mal'',
| ''-i'' (invariable),| ''-ar'' ''-er'' or ''-ir'',
| ''-u'' suffix,| same as indicative,
| ''-oj''br([[agglutinative]]),| ''-s'' (after vowels)br''-es'' (after consonants),
| agree with nouns,| no declension,
| mandatory ''-n'',| only for [[Personal pronoun|personal pronouns]],
| c. 100000–2000000,| c. 1500,
,
