,,Lower house,,,,Upper house,,,,,Ratio,Total
State,Legislative branch constitutional name,Name,Size,Term length (years),Term limit,Name,Size,Term length (years),Term limit,Filibuster possible,Lower to Upper house size,Total
Government of California,California State Legislature,California State Assembly,80,2," Not more than 12 years in either house, combined[4] ",California State Senate,40,4," Not more than 12 years in either house, combined[4] ",No,2,120
Government of Texas,Texas Legislature,Texas House of Representatives,150,2,None,Texas Senate,31,2 or 4,None,Yes,4.83871,181
Government of New York (state),New York State Legislature,New York State Assembly,150,2,None,New York State Senate,63,2,None,No,2.380952,213
Government of Florida,Florida Legislature,Florida House of Representatives,120,2,Four terms,Florida Senate,40,2 or 4,Two terms,Yes,3,160
Government of Illinois,Illinois General Assembly,Illinois House of Representatives,118,2,None,Illinois Senate,59,2 or 4,None,No,2,177
Government of Pennsylvania,Pennsylvania General Assembly,Pennsylvania House of Representatives,203,2,None,Pennsylvania State Senate,50,4,None,No,4.06,253
Government of Ohio,Ohio General Assembly,Ohio House of Representatives,99,2,Four terms,Ohio Senate,33,4,Two terms,No,3,132
Government of Michigan,Michigan Legislature,Michigan House of Representatives,110,2,Three terms,Michigan Senate,38,4,Two terms,No,2.894737,148
Government of Georgia (U.S. state),Georgia General Assembly,Georgia House of Representatives,180,2,None,Georgia Senate,56,2,None,No,3.214286,236
Government of North Carolina,North Carolina General Assembly,North Carolina House of Representatives,120,2,None,North Carolina Senate,50,2,None,No,2.4,170
Government of New Jersey,New Jersey Legislature,New Jersey General Assembly,80,2,None,New Jersey Senate,40,2 or 4,None,No,2,120
Government of Virginia,Virginia General Assembly,Virginia House of Delegates,100,2,None,Senate of Virginia,40,4,None,No,2.5,140
Government of Washington (state),Washington State Legislature,Washington House of Representatives,98,2,None,Washington State Senate,49,4,None,No,2,147
Government of Arizona,Arizona Legislature,Arizona House of Representatives,60,2,Four consecutive terms[5],Arizona Senate,30,2,Four consecutive terms[5],No,2,90
Government of Massachusetts,General Court of Massachusetts,Massachusetts House of Representatives,160,2,None,Massachusetts Senate,40,2,None,No,4,200
Government of Indiana,Indiana General Assembly,Indiana House of Representatives,100,2,None,Indiana Senate,50,4,None,No,2,150
Government of Tennessee,Tennessee General Assembly,Tennessee House of Representatives,99,2,None,Tennessee Senate,33,4,None,No,3,132
Government of Missouri,Missouri General Assembly,Missouri House of Representatives,163,2,Four terms[6],Missouri Senate,34,4,Eight years[6] (Two terms),No,4.794118,197
Government of Maryland,Maryland General Assembly,Maryland House of Delegates,141,4,None,Maryland State Senate,47,4,None,No,3,188
Government of Wisconsin,Wisconsin Legislature,Wisconsin State Assembly,99,2,None,Wisconsin Senate,33,4,None,No,3,132
Government of Minnesota,Minnesota Legislature,Minnesota House of Representatives,134,2,None,Minnesota Senate,67,2 or 4,None,No,2,201
Government of Colorado,Colorado General Assembly,Colorado House of Representatives,65,2,Four consecutive terms,Colorado Senate,35,4,Two consecutive terms,No,1.857143,100
