Name,AccuRev SCM,BitKeeper,CA Software Change Manager,IBM Rational ClearCase,Concurrent Versions System,Darcs,Git (software),GNU Bazaar,PTC Integrity,Mercurial,Perforce,Plastic SCM,PVCS,StarTeam,Apache Subversion,Surround SCM,Rational Synergy,IBM Rational Team Concert,Team Foundation Version Control,Vault (revision control system),Microsoft Visual SourceSafe
Apache Gump,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
AppVeyor,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes[20],No,No,No,No,No,No
Azure DevOps Server,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
Bamboo (software),Yes[21],No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes[22],No,No
Buddy (software),No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
BuildBot,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
BuildMaster,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
Jenkins (software),Yes,Yes,Yes,Yes,Yes,Yes[23],Yes,Yes,Yes[24],Yes,Yes,Yes[25],Yes,Yes,Yes,Yes[26],Yes[27],Yes[28],Yes,Yes[29],Yes
OpenMake Software Meister,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Semaphore (software),No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TeamCity,Yes,No,No,Yes,Yes,No,Yes,Yes[30],No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes
Vexor,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
