Library Name,,,Supported Chart Types,,,,,,,,,,,,Supported Bar chart Types,,,,,Other Features,Event (computing),,Rendering (computer graphics) Technologies,,,Databinding,HTML 5 Canvas
,Software license,Free,Line chart,Timeline,Scatter plot,Area chart,Pie chart,Donut chart,Bullet graph,Radar chart,Funnel chart,Gantt chart,Network,Grouped,Stacked,Negative,Discrete,Horizontal,3D,Legend (chart),Mouse Over,onClick,Canvas element,Scalable Vector Graphics,Vector Markup Language,Databinding on both AXIS x and y (page does not exist),Web Graphics Library
amCharts,Proprietary software,Free with a link [1] or commercial[2],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes[3],Yes,
AnyChart,Proprietary software,Free for education and non-profit use.[4] Paid for commercial applications.[5],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
ApexCharts,MIT[6],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,No,
C3.js,MIT[7],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,No,Yes
CanvasJS,Proprietary softwareProprietary software," Free for Personal, Educational and Non-Commercial Uses ",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes[9],No,No,Yes
canvasXpress," GPLv3, name/email required for source link[10] ",Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,Yes,Yes[11],No,Yes[12],
Chartist,WTFPL[13] or MIT[14],Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,No,Yes,No,
Chart.js,MIT[15],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,No
Chart Builder By Livegap,Free,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,No[16],No,
Charts 4 PHP,Proprietary software,Free basic edition[17],No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,,Yes,Yes,Yes,Yes,No,No,,
Cytoscape.js,MIT[18],Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,No,Yes,Yes,Yes,No,No,Yes
" D3.js, formerly ProtovisD3.jsD3.js ",BSD LicensesBSD Licenses,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[22],Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes[23],No,Yes
Dc.js (page does not exist),Apache 2.0[24],Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,No,Yes,Yes,No,Yes[25],No,
DevExtreme,Proprietary software,Non-commercial or commercial[26],Yes[27],Yes[28],Yes[29],Yes[30],Yes[31],Yes[32],Yes[33],Yes[34],Yes[35],No,No,Yes[36],Yes[37],Yes,Yes[38],Yes,No,Yes,Yes,Yes[39],Yes[40],Yes,No,Yes
DHTMLX Charts,GPL[41],Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes[42],No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,No,Yes,
dimple,MIT[43],Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,No,Yes
Dojo Charting,BSD or AFL[44],Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes[45],
Dygraphs,MIT[46],Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,
Echarts,BSD LicensesBSD Licenses,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Factmint Charts,Proprietary software,Non-commercial or commercial [47],Yes,Yes[48],Yes[49],Yes[50],Yes[51],No,No,No,No,No,No,No,Yes[52],Yes[52],Yes[52],,Yes,Yes,Yes,No,Yes,No,,
Flot Charts,MIT[53],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,Yes,Yes,Yes[54],No,No,
FusionCharts,Proprietary software,Free for personal and non-commercial uses.[55] Paid for commercial applications.[56],Yes [57],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes[58],,
Flotr2,MIT[59],Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes[60],No,No,
MuzeJS,MIT[61],Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
