Audio compression format,Creator,First public release date,Latest stable version,Cost,,Proprietary software implementations (codecs),Open-source license implementations (codecs),Uses (other than consumer audio),Music reproduction (consumer audio),Telephony app,Audio compression (data),Patented,Digital rights management
,,,,Data compression,Player,,,,,,,,
Advanced Audio Coding,International Organization for Standardization/International Organization for Standardization International Organization for Standardization,1997,ISO/IEC 14496-3,Non-free[1],," FAAC (encoding only), FAAC, FAAC (via FAAC, FAAC or afconvertFAAC) "," FAAD2 (decoding only), FAAD2, AudiocogsFAAD2 (decoding only), FAAD2 "," Digital TV service, Digital Radio, Internet streaming ",Yes,AAC-LD/AAC-ELD,MPEG-4 SLS,Yes," FairPlay (.m4p only, discontinued) "
Dolby Digital,Dolby Laboratories,1992,Advanced Television Systems Committee standards A52:2012,Free,," DVD players, DVD players "," FFmpeg, liba52 (decoding only), Aften (encoding only), libavc (2.0 channels max) "," Theatrical movie presentation, Digital TV service &amp; home-video (personal recorders, DVD, etc.) ",No,No,No,No,?
Apple Lossless,Apple Inc.,2004-04-28,QuickTime 7.6,Free,," QuickTime, QuickTime, QuickTime "," MacOSforge, FFmpeg, AudiocogsFFmpeg (decoding only) ",Music archival,Yes,No,Yes,Free," Possible, but never implemented "
Audio Lossless Coding,International Organization for Standardization/International Organization for Standardization MPEG Audio Committee,2005,ISO/IEC 14496-3,Free,,MPEG-4 ALS,FFmpeg (decoding only),-,Yes,No,Yes,Yes,?
Multi-Band Excitation,Digital Voice Systems,?,?,Non-free,,?,mbelib," Low bandwidth HF/VHF digital radio, VoIP trunking ",No,No,No,Yes,?
Adaptive multi-rate compression,3GPP,1999-06-22,ETSI TS 126 071 V9.0.0 (2009),Non-free[5][6],," QuickTime, QuickTime "," FFmpeg (decoding only), FFmpeg with OpenCORE libraries,Android (operating system) Android (operating system)Android (operating system) ",Voice recording,No,Yes,No,Yes,No
AMR-WB (G.722.2),3GPP,2001-04-10,ETSI TS 126 190 V8.0.0 (2009-01),Non-free,Non-free," QuickTime, QuickTime "," FFmpeg (decoding only),VisualOn FFmpeg with VisualOn libraries, VisualOn (decoding only),VisualOn opencore-amr for both encoding and decoding ",Voice recording,No,Yes,No,Yes,No
AMR-WB+,3GPP,2004-06-14,ETSI TS 126 290 V8.0.0 (2009-01),Non-free[9][10],Non-free[9][10],?,?,Voice recording,Yes,Yes,No,Yes,No
AptX,APTX,1989,2007,Non-free,Non-free," Broadcast audio codecs: 2wcom systems, Systembase, APT, AVT, Harris Corporation, MAYAH, Prodys, Qbit; wireless headphones: iSkin, JayBird Gear, DTS discs for movies ",FFmpeg," Low latency Studio/transmitter link, Studio/transmitter link A2DP stereo, digital Studio/transmitter link ",Yes,No,No,Yes,No
