Launch system,,Country of origin,Class and type,Payload capacity,,,Maiden flight,Manufacturer,Status,Ref
Low Earth orbit (Orbit),,,,Geostationary Transfer Orbit,Other,,,
Al-Abid,,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png Iraq,Small-lift launch vehicle Small-lift launch vehicle,100 kg (220 lb) to 300 kg (660 lb) (200 km (120 mi) to 500 km (310 mi),N/A,,1989," Space Research Center, Baghdad ",Abandoned,,[99]
Augmented Satellite Launch Vehicle,,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Small-lift launch vehicle Small-lift launch vehicle,150 kg (330 lb) (400 km (250 mi)),N/A,,1987,ISRO,Retired,[100]
Epsilon (rocket),,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Medium-lift launch vehicle Medium-lift launch vehicle," 1,500 kg (3,300 lb) (250 km (160 mi)x500 km (310 mi)) 700 kg (1,500 lb) (500 km (310 mi)) ",," 590 kg (1,300 lb) to 500 km (310 mi) (Sun-synchronous orbit) ",2013,JAXA,In service,[101]
Feng Bao 1,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Medium-lift launch vehicle Medium-lift launch vehicle," 2,500 kg (5,500 lb) ",,,1972,Shanghai Academy of Spaceflight Technology,Retired,[102]
Geosynchronous Satellite Launch Vehicle,GSLV Mk I,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Medium-lift launch vehicle Medium-lift launch vehicle," 5,000 kg (11,000 lb) "," 2,150 kg (4,740 lb) ",,2001,ISRO,Retired,[103]
,GSLV Mk II,,," 5,000 kg (11,000 lb) "," 2,700 kg (6,000 lb) ",,2010,ISRO,In service,
Geosynchronous Satellite Launch Vehicle Mark III,,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Medium-lift launch vehicle Medium-lift launch vehicle," 10,000 kg (22,000 lb) "," 4,000 kg (8,800 lb) ",,2014  (Suborbital)  2017  (Orbital),ISRO,In service,[104]
GX (rocket),,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan //upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Medium-lift launch vehicle Medium-lift launch vehicle," 3,600 kg (7,900 lb) ",," 1,814 kg (3,999 lb) to 800 km (500 mi) Sun-synchronous orbit ",N/A,JAXA/JAXA/JAXA,Cancelled,[105]
H-I,,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan //upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Medium-lift launch vehicle Medium-lift launch vehicle," 3,200 kg (7,100 lb) "," 1,100 kg (2,400 lb) ",,1986,Mitsubishi Heavy Industries/Mitsubishi Heavy Industries,Retired,[106]
H-II (rocket family),H-II,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Medium-lift launch vehicle Medium-lift launch vehicle," 10,060 kg (22,180 lb) "," 3,930 kg (8,660 lb) ",,1994,Mitsubishi Heavy Industries,Retired,[107]
,H-IIA,,," 10,000 kg (22,000 lb) to 15,000 kg (33,000 lb) "," 4,100 kg (9,000 lb) to 6,000 kg (13,000 lb) ",,2001,Mitsubishi Heavy Industries/Mitsubishi Heavy Industries,In service,[108]
,H-IIB,,," 16,500 kg (36,400 lb) "," 8,000 kg (18,000 lb) ",,2009,Mitsubishi Heavy Industries,In service,[109]
H3 (rocket),,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Medium-lift launch vehicle Medium-lift launch vehicle,," >8,000 kg (18,000 lb) "," >4,000 kg (8,800 lb) to Sun-synchronous orbit (Minimum configuration) ",2020 (Planned),Mitsubishi Heavy Industries,Under development,[110]
J-I,,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Experimental Expendable launch system,-,-," 1,054 kg (2,324 lb) along 1,300 km (810 mi) downrange. ",1996,National Space Development Agency of Japan/National Space Development Agency of Japan,Retired,[111]
China Academy of Launch Vehicle Technology,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Small-lift launch vehicle Small-lift launch vehicle,,N/A,150 kg (330 lb) to 700 km (430 mi) (Sun-synchronous orbit),2019,China Academy of Launch Vehicle Technology,In service,[112]
Kaituozhe (rocket family),Kaituozhe-1,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Small-lift launch vehicle Small-lift launch vehicle,100 kg (220 lb),Not applicable,,2002,China Aerospace Science and Technology Corporation,Retired,[113]
