English,Malaysian,Indonesian
I,"  saya ,   aku ,   daku ","  saya ,   aku ,   daku  "
ice,ais,es
Iceland,Iceland,Islandia
image,"  citra ,   imej  (of reputation),  gambar  (pictorial image)","  citra  (of reputation),   gambar  (pictorial image) "
imagination,"  imaginasi, bayangan ","  imajinasi ,   khayalan  "
immigration,"  imigresen, imigrasi ",imigrasi  from Dutch   immigratie
import,import,impor
impotence,"  mati pucuk ,   impotensi ,   lemah syahwat ","  impotensi  from Dutch   impotentie  ,   lemah syahwat  colloquial "
impotent,kemandulan,"  impotensi ,   kemandulan  "
Incineration,penunuan,insinerasi
Indian Ocean,Lautan Hindi,Samudra Hindia
inductor,"  peraruh ,  induktor  (rare)",induktor
information,maklumat,"  informasi , from Dutch   informatie  ,  penerangan  rare "
injection (noun),suntikan,"  suntikan ,    injeksi  "
Ink,dakwat  from Arabic,"  tinta  from Dutch   tinte  ,   dawat  (archaic) "
installment (payment),ansuran,"  angsuran ,   cicilan  "
Instant,"  segera  (means ""soon"" in Indonesia)","  seketika ,   instan  "
insurance,insurans,asuransi  from Dutch   assurantie
Intelligence (spying),risikan  (means 'secret investigation' in Indonesia),"  intelijen ,  tilik sandi  "
international,antarabangsa,"  internasional ,  mancanegara  from Javanese meaning: foreign land) "
Internet café,"  kafe internet ,   kafe   cyber ","  warnet  a portmanteau for "" warung internet "" (lit. internet shop) "
intervention,"  campur tangan ,   intervensi ","  campur tangan ,   intervensi  "
Introspection,"  kaji diri ,   introspeksi  (rare)","  introspeksi ,   mawas diri  "
invasion,"  penyerangan ,   penjajahan  (means Colonialism in Indonesian),   invasi ",invasi
investment,pelaburan,"  investasi ,   penanaman modal  "
Iraq,Iraq,Irak
Ireland,Ireland,Irlandia
Irrigation,pengairan,"  irigasi ,   pengairan  "
Italy,Itali,Italia  from Italian
