,,Trident (layout engine),Tasman (layout engine),Gecko (layout engine),WebKit,KHTML,Presto (layout engine)
Interface HTMLCollection,,,,,,,
DOM1,length,7.0,?,1.0,?,?,1.0
,item(),,?,,?,?,
,namedItem(),,?,,?,?,
Interface HTMLOptionsCollection,,,,,,,
DOM2,length,?,?,1.0,?,?,2.0
,item(),?,?,,?,?,
,namedItem(),?,?,,?,?,
Interface HTMLDocument,,,,,,,
DOM1,domain,4.0,Yes,1.0,Yes,?,1.0
,URL,,,,,?,
,body,,,,,?,
,images,,,,,?,
,applets,,,,,?,
,title,3.0,,,,?,
,referrer,,,,,?,
,links,,,,,?,
,forms,,,,,?,
,anchors,,,,,?,
,cookie,,,,,?,
,open(),,,,,?,
,close(),,,,,?,
,write(),,,,,?,
,writeln(),,,,,?,
,getElementsByName(),Yes,?,,,?,
Interface HTMLElement,,,,,,,
DOM1,id,4.0,Yes,1.0,?,?,1.0
,title,,,,?,?,
,lang,,,,?,?,
,className,,,,?,?,
,dir,5.0,,,?,?,
Interface HTMLHtmlElement,,,,,,,
DOM1,version,6.0,?,1.0,?,?,2.0
Interface HTMLHeadElement,,,,,,,
DOM1,profile,8.0,?,1.0,?,?,1.0
Interface HTMLLinkElement,,,,,,,
DOM1,disabled,4.0,Yes,1.0,?,?,1.0
,charset,,,,?,?,
,href,8.0,,,?,?,
,hreflang,4.0,,,?,?,
,media,,,,?,?,
,rel,,,,?,?,
,rev,,,,?,?,
,target,,,,?,?,
,type,,,,?,?,
Interface HTMLTitleElement,,,,,,,
DOM1,text,4.0,Yes,1.0,?,?,1.0
Interface HTMLMetaElement,,,,,,,
DOM1,content,4.0,Yes,1.0,?,?,1.0
,httpEquiv,,,,?,?,
,name,,,,?,?,
,scheme,6.0,?,,?,?,2.0
Interface HTMLBaseElement,,,,,,,
DOM1,href,8.0,Yes,1.0,?,?,2.0
,target,4.0,,,?,?,
Interface HTMLStyleElement,,,,,,,
DOM2,disabled,?,?,1.0,?,?,1.0
,media,4.0,Yes,,?,?,
Interface HTMLBodyElement,,,,,,,
DOM1,aLink,4.0,Yes,1.0,?,?,1.0
,background,8.0,,,?,?,
,bgColor,4.0,,,?,?,
,link,,,,?,?,
,text,,,,?,?,
,vLink,,,,?,?,
Interface HTMLFormElement,,,,,,,
DOM1,action,8.0,Yes,1.9,?,?,1.0
,acceptEncoding,?,?,1.0,?,?,
,elements,3.0,Yes,,?,?,
,length,,,,?,?,
,enctype,4.0,,,?,?,
,method,3.0,,,?,?,
,submit(),,,,?,?,
,reset(),4.0,,,?,?,
Interface HTMLSelectElement,,,,,,,
DOM1,selectedIndex,3.0,Yes,1.0,?,?,1.0
,options,,,,?,?,
,size,4.0,,,?,?,
,value,,,,?,?,
,disabled,5.0,,,?,?,
,multiple,,,,?,?,
,form,?,?,,?,?,
,tabIndex,?,?,,?,?,
,add(),?,?,,?,?,
,remove(),?,?,,?,?,
,blur(),3.0,Yes,,?,?,
,focus(),,,,?,?,
Interface HTMLOptGroupElement,,,,,,,
DOM1,disabled,?,?,1.0,?,?,2.0
,label,No,Yes,,?,?,
Interface HTMLOptionElement,,,,,,,
DOM1,form,4.0,Yes,1.0,?,?,1.0
,defaultSelected,,,,?,?,
,index,?,?,,?,?,
,disabled,?,?,,?,?,
,label,6.0,Yes,,?,?,2.0
,selected,4.0,,,?,?,1.0
Interface HTMLInputElement,,,,,,,
DOM1,defaultValue,3.0,Yes,1.0,?,?,1.0
,defaultChecked,,,,?,?,
,form,,,,?,?,
,accept,?,?,,?,?,
,accesskey,?,?,,?,?,
,align,?,?,,?,?,
,alt,?,?,,?,?,
,checked,3.0,Yes,,?,?,
,disabled,5.0,,,?,?,
,maxLength,4.0,,,?,?,2.0
,name,3.0,,,?,?,1.0
,readOnly,4.0,,,?,?,
,size,,,,?,?,
,src,,,1.9,?,?,
,tabIndex,?,?,1.0,?,?,
,type,4.0,Yes,,?,?,
,useMap,?,?,,?,?,
,value,3.0,Yes,,?,?,
,blur(),,,,?,?,
,select(),,,,?,?,
,click(),,,,?,?,
Interface HTMLTextAreaElement,,,,,,,
DOM1,defaultValue,3.0,Yes,1.0,?,?,1.0
,cols,4.0,Yes,,?,?,
,name,3.0,,,?,?,
